Both ^abx++++=Both
intra ^rb++++=intra-iliac
- ^zz++++=EXTRAWORD
iliac ^jj+atrb+++=EXTRAWORD
artery ^nn++++=artery
and ^cc++++=and
vein ^nn++++=vein
injections ^nns++++=injections
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
( ^zz++++=(
Yu ^np++++=Yu
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
57 ^cd++++=57.
. ^zz++++=EXTRAWORD
Yu ^np+++??+=Yu,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Wang ^np+++??+=Wang,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Muscarella ^np+++??+=Muscarella,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Intra ^np+++??+=Intra-iliac
- ^zz++++=EXTRAWORD
iliac ^jj+atrb+++=EXTRAWORD
artery ^nn++++=artery
injection ^nn++++=injection
for ^in++++=for
efficient ^jj+atrb+++=efficient
and ^cc+phrs+++=and
selective ^jj+atrb+++=selective
modeling ^nn+++??+=modeling
of ^in++++=of
microscopic ^jj+atrb+++=microscopic
bone ^nn++++=bone
metastasis ^nns+++??+=metastasis
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Vis ^&fw++++=Vis.
. ^zz++++=EXTRAWORD
Exp ^np+++??+=Exp.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
2016 ^cd++++=2016
: ^zz++++=:1-7
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
7 ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
animals ^nns++++=animals
were ^vbd+bed+vrb++=were
anesthetized ^nn+++??+=anesthetized
and ^cc++++=and
restrained ^vpsv++agls+xvbn+=restrained
on ^in++++=on
a ^at++++=a
warming ^jj+atrb++xvbg+=warming
pad ^nn++++=pad.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surgery ^nn++++=surgery
area ^nn++++=area
was ^vbd+bedz+aux++=was
sterilized ^vpsv++agls+xvbnx+=sterilized,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
7 ^zz++++=7-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
mm ^nnu++++=mm
incision ^nn+++??+=incision
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
between ^in++++=between
the ^ati++++=the
right ^jj+atrb+++=right
hind ^jjb+atrb+++=hind
limb ^nn++++=limb
and ^cc++++=and
abdomen ^nn++++=abdomen
to ^to++++=to
expose ^vbi++++=expose
the ^ati++++=the
common ^jj+atrb+++=common
iliac ^jj+atrb+++=iliac
vessels ^nns++++=vessels.
. ^zz++++=EXTRAWORD
Cancer ^nn++++=Cancer
cells ^nns++++=cells
were ^vbd+bed+aux++=were
suspended ^vpsv++agls+xvbnx+=suspended
in ^in++++=in
100 ^cd++++=100
L ^zz++++=L
Pbs ^np+++??+=PBS
and ^cc++++=and
injected ^vpsv++agls+xvbn+=injected
to ^in++++=to
the ^ati++++=the
iliac ^jj+atrb+++=iliac
artery ^nn++++=artery
or ^cc++++=or
vein ^nn++++=vein
by ^in++++=by
31g ^cd++++=31G
insulin ^nn++++=insulin
syringe ^nn++++=syringe
( ^zz++++=(Becton
becton ^nn+++??+=EXTRAWORD
Dickinson ^np+++??+=Dickinson)
) ^zz++++=EXTRAWORD
to ^to++++=to
generate ^vbi++++=generate
bone ^nn++++=bone
or ^cc++++=or
lung ^nn++++=lung
metastases ^nns+++??+=metastases,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
For ^in++++=For
inducible ^nn+++??+=inducible
knockdown ^nn+++??+=knockdown
of ^in++++=of
Ezh2 ^np+++??+=EZH2
in ^in++++=in
vivo ^rb"++++=vivo
, ^zz++++=,
animals ^nns++++=animals
were ^vbd+bed+aux++=were
randomly ^rb++splt++=randomly
separated ^vpsv++agls+xvbnx+=separated
into ^in++++=into
two ^cd++++=two
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
given ^vbd+++xvbn+=given
0.2 ^nn+++??+=0.2
mg ^nnu++++=mg/ml
doxycycline ^nn+++??+=doxycycline
in ^in++++=in
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
sucrose ^nn+++??+=sucrose
water ^nn++++=water
or ^cc++++=or
vehicle ^nn++++=vehicle
for ^in++++=for
7 ^zz++++=7
weeks ^nns++++=weeks
one ^cd1++++=one
week ^nn++++=week
after ^in++++=after
the ^ati++++=the
injection ^nn++++=injection,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
