Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Rfr ^np+++??+=RFR
task ^nn++++=task,
, ^zz++++=EXTRAWORD
inhibition ^nn++++=inhibition
of ^in++++=of
Nts ^np+++??+=NTS
Recipient ^nn++++=Recipient
neurons ^nns+++??+=neurons
during ^in++++=during
anticipation ^nn++++=anticipation
markedly ^rb++++=markedly
reduced ^vbd+++xvbn+=reduced
the ^ati++++=the
anticipatory ^jj++++=anticipatory
running ^jj+++xvbg+=running
and ^cc++++=and
performance ^nn++++=performance
( ^zz++++=(
Figures ^np++++=Figures
6 ^zz++++=6
H ^zz++++=H
and ^cc++++=and
6i ^cd++++=6I).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
inhibiting ^jj++++=inhibiting
these ^dt+pdem+++=these
neurons ^vbz+++??+=neurons
did ^vbd+dod+aux++=did
not ^xnot++not++=not
induce ^vb++++=induce
aversion ^nn++++=aversion
or ^cc++++=or
preference ^nn++++=preference
or ^cc++++=or
any ^dti++++=any
change ^nn++++=change
in ^in++++=in
movement ^nn++++=movement
in ^in++++=in
the ^ati++++=the
Rtpp ^np+++??+=RTPP/A
test ^nn++++=test
( ^zz++++=(
Figures ^np++++=Figures
S4 ^np+++??+=S4
S ^zz++++=S
S4w ^np+++??+=S4W);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
also ^rb++++=also
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
ad ^&fw++++=ad
libitum ^nn+++??+=libitum
sucrose ^nn+++??+=sucrose
consumption ^nn++++=consumption
( ^zz++++=(
Figures ^np++++=Figures
S4 ^np+++??+=S4
F ^zz++++=F
and ^cc++++=and
S4x ^np+++??+=S4X).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Together ^rb+cnj+++=Together,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
demonstrate ^vb+vprv+++=demonstrate
that ^tht+vcmp+++=that
Nts ^np+++??+=NTS
Recipient ^nn++++=Recipient
activity ^nn++++=activity
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
anticipatory ^jj+atrb+++=anticipatory
control ^nn++++=control
of ^in++++=of
different ^jj+atrb+++=different
forms ^nns++++=forms
of ^in++++=of
goal ^nn++++=goal-directed
- ^zz++++=EXTRAWORD
directed ^xvbn+++xvbn+=EXTRAWORD
actions ^nns++++=actions
but ^cc++++=but
dispensable ^jj++++=dispensable
for ^in++++=for
motor ^nn++++=motor
function ^nn++++=function
or ^cc++++=or
consumption ^nn++++=consumption.
. ^zz++++=EXTRAWORD
