Recent ^jj+atrb+++=Recent
work ^nn++++=work
has ^vbz+hvz+aux++=has
begun ^vprf+++xvbnx+=begun
to ^to++++=to
define ^vbi++++=define
the ^ati++++=the
transcriptional ^nn+++??+=transcriptional
circuitry ^nn+++??+=circuitry
that ^tht+rel+subj++=that
directs ^vbz+vpub+++=directs
fate ^nn++++=fate
decisions ^nns++++=decisions
between ^in++++=between
terminal ^jj+atrb+++=terminal
T ^zz++++=T
Eff ^np+++??+=EFF
, ^zz++++=,
T ^zz++++=T
Mem ^np+++??+=MEM
and ^cc++++=and
T ^zz++++=T
Ex ^jjb++++=EX
. ^zz++++=.
Many ^ap++++=Many
of ^in++++=of
these ^dt+dem+++=these
transcriptional ^nn+++??+=transcriptional
mechanisms ^nns++++=mechanisms
that ^tht+rel+subj++=that
promote ^vb++++=promote
one ^cd1++++=one
cell ^nn++++=cell
fate ^nn++++=fate
directly ^rb++++=directly
repress ^vbz+++??+=repress
the ^ati++++=the
opposing ^jj+atrb++xvbg+=opposing
fate ^nn++++=fate.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Tox ^np+++??+=Tox
promotes ^vbz++++=promotes
T ^zz++++=T
Ex ^jjb++++=EX
while ^cs+sub+++=while
repressing ^nn+++??+=repressing
T ^zz++++=T
Eff ^np+++??+=EFF
( ^zz++++=(
Alfei ^np++++=Alfei
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
Alfei ^np+++??+=Alfei,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Kanev ^np+++??+=Kanev,
, ^zz++++=EXTRAWORD
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Hofmann ^np+++??+=Hofmann,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tox ^np+++??+=TOX
reinforces ^vbz++++=reinforces
the ^ati++++=the
phenotype ^nn+++??+=phenotype
and ^cc++++=and
longevity ^nn++++=longevity
of ^in++++=of
exhausted ^jj+++xvbn+=exhausted
T ^zz++++=T
cells ^nns++++=cells
in ^in++++=in
chronic ^jj+atrb+++=chronic
viral ^nn+++??+=viral
infection ^nn++++=infection
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
571 ^cd++++=571
: ^zz++++=:265-269
265 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
269 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(156)
156 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Khan ^npt++++=Khan
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
35 ^cd++++=35.
. ^zz++++=EXTRAWORD
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
O ^zz++++=O.
. ^zz++++=EXTRAWORD
Giles ^np+++??+=Giles,
, ^zz++++=EXTRAWORD
J.r ^np+++??+=J.R.
. ^zz++++=EXTRAWORD
Mcdonald ^np+++??+=McDonald,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tox ^np+++??+=TOX
transcriptionally ^nn+++??+=transcriptionally
and ^cc++++=and
epigenetically ^nn+++??+=epigenetically
programs ^nns+++??+=programs
Cd8 ^np+++??+=CD8+
+ ^zz++++=EXTRAWORD
T ^zz++++=T
cell ^nn++++=cell
exhaustion ^nn++++=exhaustion
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
571 ^cd++++=571
: ^zz++++=:211-218
211 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
218 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(213)
213 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
Tcf ^np+++??+=TCF-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
promotes ^vbz++++=promotes
T ^zz++++=T
Mem ^np+++??+=MEM
or ^cc++++=or
T ^zz++++=T
Ex ^jjb++++=EX
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
T ^zz++++=T
Eff ^np+++??+=EFF
( ^zz++++=(
Chen ^np++++=Chen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b
14 ^cd++++=14.
. ^zz++++=EXTRAWORD
Chen ^np+++??+=Chen,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Ji ^np+++??+=Ji,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Ngiow ^np+++??+=Ngiow,
, ^zz++++=EXTRAWORD
S.f ^np+++??+=S.F.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tcf ^np+++??+=TCF-1-Centered
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
centered ^vbd+++xvbn+=EXTRAWORD
Transcriptional ^np+++??+=Transcriptional
Network ^nn++++=Network
Drives ^nns++++=Drives
an ^at++++=an
Effector ^np+++??+=Effector
versus ^in++++=versus
Exhausted ^vprf+++xvbn+=Exhausted
Cd8 ^np+++??+=CD8
T ^zz++++=T
Cell ^nn++++=Cell-Fate
- ^zz++++=EXTRAWORD
fate ^nn++++=EXTRAWORD
Decision ^nn++++=Decision
Immunity ^nn++++=Immunity.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
51 ^cd++++=51
: ^zz++++=:840-855.e5
840 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
855.e5 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(85)
85 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Zhou ^np+++??+=Zhou
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
106 ^cd++++=106.
. ^zz++++=EXTRAWORD
Zhou ^np+++??+=Zhou,
, ^zz++++=EXTRAWORD
X ^zz++++=X.
. ^zz++++=EXTRAWORD
Yu ^np+++??+=Yu,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Zhao ^np+++??+=Zhao,
, ^zz++++=EXTRAWORD
D. ^np+++??+=D.-M.
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Differentiation ^nn++++=Differentiation
and ^cc++++=and
persistence ^nn++++=persistence
of ^in++++=of
memory ^nn++++=memory
Cd8 ^np+++??+=CD8(
( ^zz++++=EXTRAWORD
+ ^zz++++=+
) ^zz++++=)
T ^zz++++=T
cells ^nns++++=cells
depend ^vb++++=depend
on ^rp++++=on
T ^zz++++=T
cell ^nn++++=cell
factor ^nn++++=factor
1 ^zz++++=1
Immunity ^nn++++=Immunity.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
33 ^cd++++=33
: ^zz++++=:229-240
229 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
240 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(320)
320 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Blimp ^np+++??+=Blimp-1,
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
T ^zz++++=T-bet,
- ^zz++++=EXTRAWORD
bet ^vbd+vpub++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
Id2 ^np+++??+=Id2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
drive ^nn++++=drive
T ^zz++++=T
Eff ^np+++??+=EFF
and ^cc++++=and
repress ^nns+++??+=repress
T ^zz++++=T
Mem ^np+++??+=MEM
( ^zz++++=(
Kaech ^np++++=Kaech
and ^cc++++=and
Cui ^np+++??+=Cui,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
32 ^cd++++=32.
. ^zz++++=EXTRAWORD
Kaech ^np+++??+=Kaech,
, ^zz++++=EXTRAWORD
S.m ^np+++??+=S.M.
. ^zz++++=EXTRAWORD
Cui ^np+++??+=Cui,
, ^zz++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Transcriptional ^np+++??+=Transcriptional
control ^nn++++=control
of ^in++++=of
effector ^nn+++??+=effector
and ^cc++++=and
memory ^nn++++=memory
Cd8 ^np+++??+=CD8+
+ ^zz++++=EXTRAWORD
T ^zz++++=T
cell ^nn++++=cell
differentiation ^nn++++=differentiation
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Rev ^npt++++=Rev.
. ^zz++++=EXTRAWORD
Immunol ^np+++??+=Immunol.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
12 ^cd++++=12
: ^zz++++=:749-761
749 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
761 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(715)
715 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
identification ^nn++++=identification
of ^in++++=of
Fli1 ^np+++??+=Fli1
as ^in++++=as
a ^at++++=a
type ^nn++++=type
of ^in++++=of
genomic ^nn+++??+=genomic
safeguard ^nn++++=safeguard
against ^in++++=against
over ^in++++=over-commitment
- ^zz++++=EXTRAWORD
commitment ^nn++++=EXTRAWORD
to ^in+ncmp+++=to
effector ^jj+atrb++??+=effector
differentiation ^nn++++=differentiation
reveals ^vbz+vprv+++=reveals
several ^ap++++=several
concepts ^nns++++=concepts.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
during ^in++++=during
chronic ^jj+atrb+++=chronic
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
loss ^nn++++=loss
of ^in++++=of
Tcf ^np+++??+=TCF-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
or ^cc++++=or
Tox ^np+++??+=Tox
results ^nns++++=results
in ^in++++=in
an ^at++++=an
ability ^nn++++=ability
to ^to+ncmp+++=to
sustain ^vbi++++=sustain
responses ^nns++++=responses
later ^rbr+tm+++=later
in ^in++++=in
infection ^nn++++=infection
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
commitment ^nn++++=commitment
to ^to+ncmp+++=to
terminally ^vb+++??+=terminally
differentiated ^vwbn+++xvbn+=differentiated
T ^zz++++=T
Eff ^np+++??+=EFF
( ^zz++++=(
Alfei ^np++++=Alfei
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
Alfei ^np+++??+=Alfei,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Kanev ^np+++??+=Kanev,
, ^zz++++=EXTRAWORD
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Hofmann ^np+++??+=Hofmann,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tox ^np+++??+=TOX
reinforces ^vbz++++=reinforces
