Most ^ql+emph+++=Most
eukaryotes ^nns+++??+=eukaryotes
are ^vb+ber+vrb++=are
monocentric ^nn+++??+=monocentric,
, ^zz++++=EXTRAWORD
meaning ^vbg+vprv++xvbg+=meaning
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
centromeres ^nns+++??+=centromeres
are ^vb+ber+aux++=are
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
single ^jj+atrb+++=single
regions ^nns++++=regions
on ^in++++=on
each ^dt++++=each
chromosome ^nn++++=chromosome.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
centromeric ^nn+++??+=centromeric
regions ^nns++++=regions
can ^md+pos+++=can
range ^vb++++=range
from ^in++++=from
kilobases ^nns+++??+=kilobases
( ^zz++++=(kbs)
kbs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
megabases ^nns+++??+=megabases
( ^zz++++=(Mbs)
mbs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
length ^nn++++=length
and ^cc++++=and
comprise ^vb++++=comprise
often ^rb++++=often
specific ^jj++++=specific
repeats ^vbz+vpub+++=repeats
( ^zz++++=(
Gohard ^np++++=Gohard
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
28 ^cd++++=28.
. ^zz++++=EXTRAWORD
Gohard ^np+++??+=Gohard,
, ^zz++++=EXTRAWORD
F.h ^np+++??+=F.H.
. ^zz++++=EXTRAWORD
Zhiteneva ^np+++??+=Zhiteneva,
, ^zz++++=EXTRAWORD
A.a ^np+++??+=A.A.
. ^zz++++=EXTRAWORD
Earnshaw ^np+++??+=Earnshaw,
, ^zz++++=EXTRAWORD
W.c ^nn++++=W.C.
. ^zz++++=EXTRAWORD
Centromeres ^np+++??+=Centromeres
els ^np++++=eLS,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
Chichester ^np++++=Chichester
https ^nns+++??+=https://onlinelibrary.wiley.com/doi/epdf/10.1002/97804700159
: ^zz++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Holocentromeres ^np+++??+=Holocentromeres,
, ^zz++++=EXTRAWORD
by ^in++++=by
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
consist ^vb++++=consist
of ^in++++=of
multiple ^jj+atrb+++=multiple
centromeric ^nn+++??+=centromeric
units ^nns++++=units
distributed ^vwbn+++xvbn+=distributed
along ^in++++=along
the ^ati++++=the
poleward ^nn+++??+=poleward
surface ^nn++++=surface
of ^in++++=of
metaphase ^nn+++??+=metaphase
chromosomes ^nns+++??+=chromosomes,
, ^zz++++=EXTRAWORD
extending ^vbg+++xvbg+=extending
from ^in++++=from
one ^cd1++++=one
telomere ^nn+++??+=telomere
to ^in++++=to
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
thus ^rb+cnj+++=thus
typically ^rb++++=typically
visible ^jj++++=visible
as ^in++++=as
a ^at++++=a
line ^nn++++=line
on ^rp++++=on
each ^ppls++++=each
chromatid ^nn+++??+=chromatid
( ^zz++++=(
Heckmann ^np++++=Heckmann
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
37 ^cd++++=37.
. ^zz++++=EXTRAWORD
Heckmann ^np+++??+=Heckmann,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Macas ^np+++??+=Macas,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Kumke ^np+++??+=Kumke,
, ^zz++++=EXTRAWORD
K ^zz++++=K.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
holocentric ^nn+++??+=holocentric
species ^nns++++=species
Luzula ^np+++??+=Luzula
elegans ^nns+++??+=elegans
shows ^vbz+vprv+++=shows
interplay ^nn++++=interplay
between ^in++++=between
centromere ^nn+++??+=centromere
and ^cc++++=and
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
genome ^nn+++??+=genome
organization ^nn++++=organization
Plant ^nn++++=Plant
J ^zz++++=J.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
73 ^cd++++=73
: ^zz++++=:555-565
555 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
565 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(63)
63 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Senaratne ^np+++??+=Senaratne
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
86 ^cd++++=86.
. ^zz++++=EXTRAWORD
Senaratne ^np+++??+=Senaratne,
, ^zz++++=EXTRAWORD
A.p ^np+++??+=A.P.
. ^zz++++=EXTRAWORD
Muller ^np+++??+=Muller,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Fryer ^np++++=Fryer,
, ^zz++++=EXTRAWORD
K.a ^np+++??+=K.A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Formation ^nn++++=Formation
of ^in++++=of
the ^ati++++=the
Cenh3 ^np+++??+=CenH3-deficient
- ^zz++++=EXTRAWORD
deficient ^jj+atrb+++=EXTRAWORD
holocentromere ^nn+++??+=holocentromere
in ^in++++=in
Lepidoptera ^np+++??+=Lepidoptera
avoids ^vbz++++=avoids
active ^jj+atrb+++=active
chromatin ^nn+++??+=chromatin
Curr ^np+++??+=Curr.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
31 ^cd++++=31
: ^zz++++=:173-181.e7
173 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
181.e7 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Steiner ^np++++=Steiner
and ^cc++++=and
Henikoff ^np+++??+=Henikoff,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
92 ^cd++++=92.
. ^zz++++=EXTRAWORD
Steiner ^np++++=Steiner,
, ^zz++++=EXTRAWORD
F.a ^np+++??+=F.A.
. ^zz++++=EXTRAWORD
Henikoff ^np+++??+=Henikoff,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Holocentromeres ^np+++??+=Holocentromeres
are ^vb+ber+aux++=are
dispersed ^vpsv++agls+xvbnx+=dispersed
point ^nn++++=point
centromeres ^nns+++??+=centromeres
localized ^nn+++??+=localized
at ^rb++++=at
transcription ^nn+++??+=transcription
factor ^nn++++=factor
hotspots ^nns+++??+=hotspots
elife ^nn+++??+=eLife.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
3 ^zz++++=3
: ^zz++++=:e02025
e02025 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(69)
69 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Holocentromeres ^np+++??+=Holocentromeres
are ^vb+ber+vrb++=are
hypothesized ^nn+++??+=hypothesized
to ^to++++=to
stabilize ^vbi++++=stabilize
chromosomal ^nn+++??+=chromosomal
fragments ^nns++++=fragments
and ^cc++++=and
fusions ^nns+++??+=fusions
that ^tht+rel+obj++=that
favor ^nn++++=favor
karyotype ^nn+++??+=karyotype
rearrangements ^nns++++=rearrangements
and ^cc++++=and
speciation ^nn+++??+=speciation
( ^zz++++=(
Mandrioli ^np++++=Mandrioli
and ^cc++++=and
Manicardi ^np+++??+=Manicardi,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
57 ^cd++++=57.
. ^zz++++=EXTRAWORD
Mandrioli ^np+++??+=Mandrioli,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Manicardi ^np+++??+=Manicardi,
, ^zz++++=EXTRAWORD
G.c ^np+++??+=G.C.
. ^zz++++=EXTRAWORD
Holocentric ^np+++??+=Holocentric
chromosomes ^nns+++??+=chromosomes
Plos ^np+++??+=PLOS
Genet ^np+++??+=Genet.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
16 ^cd++++=16
: ^zz++++=:e1008918
e1008918 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(17)
17 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
directly ^rb++++=directly
influencing ^jj+atrb++xvbg+=influencing
chromosome ^nn++++=chromosome
evolution ^nn++++=evolution
( ^zz++++=(
Schubert ^np++++=Schubert
and ^cc++++=and
Lysak ^np+++??+=Lysak,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
85 ^cd++++=85.
. ^zz++++=EXTRAWORD
Schubert ^np+++??+=Schubert,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Lysak ^np+++??+=Lysak,
, ^zz++++=EXTRAWORD
M.a ^nn++++=M.A.
. ^zz++++=EXTRAWORD
Interpretation ^nn++++=Interpretation
of ^in++++=of
karyotype ^nn+++??+=karyotype
evolution ^nn++++=evolution
should ^md+nec+++=should
consider ^vb+vprv+++=consider
chromosome ^nn++++=chromosome
structural ^jj+atrb+++=structural
constraints ^nns+++??+=constraints
Trends ^nns++++=Trends
Genet ^np+++??+=Genet.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
27 ^cd++++=27
: ^zz++++=:207-216
207 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
216 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(184)
184 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
hypothesis ^nn++++=hypothesis
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
holocentromeres ^nns+++??+=holocentromeres
have ^vb+hv+aux++=have
evolved ^vprf+++xvbnx+=evolved
independently ^rb++++=independently
several ^ap++++=several
times ^nns++++=times
in ^in++++=in
different ^jj+atrb+++=different
plant ^nn++++=plant
and ^cc++++=and
animal ^nn++++=animal
lineages ^nns+++??+=lineages
( ^zz++++=(
Escudero ^np++++=Escudero
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
21 ^cd++++=21.
. ^zz++++=EXTRAWORD
Escudero ^np+++??+=Escudero,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
M ^zz++++=M
rquez ^nn+++??+=rquez-Corro,
- ^zz++++=EXTRAWORD
corro ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
J.i ^np+++??+=J.I.
. ^zz++++=EXTRAWORD
Hipp ^np+++??+=Hipp,
, ^zz++++=EXTRAWORD
A.l ^np+++??+=A.L.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phylogenetic ^jj+atrb+++=phylogenetic
origins ^nns++++=origins
and ^cc++++=and
evolutionary ^jj+atrb+++=evolutionary
history ^nn++++=history
of ^in++++=of
holocentric ^nn+++??+=holocentric
chromosomes ^nns+++??+=chromosomes
Syst ^np+++??+=Syst.
. ^zz++++=EXTRAWORD
Bot ^np+++??+=Bot.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
41 ^cd++++=41
: ^zz++++=:580-585
580 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
585 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(21)
21 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Melters ^np+++??+=Melters
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
63 ^cd++++=63.
. ^zz++++=EXTRAWORD
Melters ^np+++??+=Melters,
, ^zz++++=EXTRAWORD
D.p ^np+++??+=D.P.
. ^zz++++=EXTRAWORD
Paliulis ^np+++??+=Paliulis,
, ^zz++++=EXTRAWORD
L.v ^np+++??+=L.V.
. ^zz++++=EXTRAWORD
Korf ^np+++??+=Korf,
, ^zz++++=EXTRAWORD
I.f ^np+++??+=I.F.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Holocentric ^np+++??+=Holocentric
chromosomes ^nns+++??+=chromosomes:
: ^zz++++=EXTRAWORD
convergent ^nn+++??+=convergent
evolution ^nn++++=evolution,
, ^zz++++=EXTRAWORD
meiotic ^nn+++??+=meiotic
adaptations ^nns++++=adaptations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
genomic ^jj+atrb++??+=genomic
analysis ^nn++++=analysis
Chromosome ^np+++??+=Chromosome
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
20 ^cd++++=20
: ^zz++++=:579-593
579 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
593 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np++++=Scopus
 ^zz++++=(172)
72 ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Pubmed ^np++++=PubMed
Google ^np++++=Google
Scholar ^nn++++=Scholar
	 ^zz++++=).
 ^zz++++=EXTRAWORD
