Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
to ^to++++=to
characterize ^vbi++++=characterize
upstream ^rb+pl+++=upstream
regulators ^nns+++??+=regulators
that ^tht+rel+obj++=that
may ^md+pos+++=may
induce ^vb++++=induce
the ^ati++++=the
differentiation ^nn++++=differentiation
and ^cc++++=and
maintenance ^nn++++=maintenance
of ^in++++=of
the ^ati++++=the
cytotoxic ^nn+++??+=cytotoxic
T ^zz++++=T
Fh ^np+++??+=FH
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
performed ^vbd+++xvbn+=performed
Ingenuity ^nn++++=Ingenuity
Pathway ^nn++++=Pathway
analysis ^nn++++=analysis
( ^zz++++=(IPA)
ipa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
transcripts ^nn++++=transcripts
increased ^vbd+++xvbn+=increased
in ^in++++=in
Sars ^np+++??+=SARS-CoV-2-reactive
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
reactive ^nn+++??+=EXTRAWORD
T ^zz++++=T
Fh ^np+++??+=FH
cells ^nns++++=cells
in ^in++++=in
cluster ^nn++++=cluster
5 ^zz++++=5
( ^zz++++=(cytotoxic)
cytotoxic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
when ^wrb+who+++=when
compared ^xvbn+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
in ^in++++=in
cluster ^nn++++=cluster
0 ^zz++++=0
( ^zz++++=(
Tables ^np++++=Tables
S3 ^np+++??+=S3
D ^zz++++=D
and ^cc++++=and
S3e ^np+++??+=S3E).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Surprisingly ^rb+cnj+++=Surprisingly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
type ^nn++++=type
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2
Ifns ^np+++??+=IFNs
emerged ^vbd+++xvbn+=emerged
as ^ql++++=as
the ^ati++++=the
top ^jjb++++=top
upstream ^rb+pl+++=upstream
activators ^nns+++??+=activators
of ^in++++=of
genes ^nns++++=genes
enriched ^vbd+++xvbn+=enriched
in ^in++++=in
the ^ati++++=the
cytotoxic ^nn+++??+=cytotoxic
T ^zz++++=T
Fh ^np+++??+=FH
cluster ^nn++++=cluster
( ^zz++++=(
Figure ^np++++=Figure
S3 ^np+++??+=S3
J ^zz++++=J
and ^cc++++=and
Tables ^nns++++=Tables
S3 ^np+++??+=S3
D ^zz++++=D
and ^cc++++=and
S3e ^np+++??+=S3E).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gsea ^np+++??+=GSEA
confirmed ^vwbn+vpub++xvbn+=confirmed
that ^tht+vcmp+++=that
Ifn ^np+++??+=IFN
response ^nn++++=response
signatures ^nns++++=signatures
were ^vbd+bed+aux++=were
also ^rb++splt++=also
significantly ^rb++++=significantly
enriched ^vbd+++xvbn+=enriched
in ^in++++=in
the ^ati++++=the
cytotoxic ^nn+++??+=cytotoxic
T ^zz++++=T
Fh ^np+++??+=FH
cluster ^nn++++=cluster
( ^zz++++=(cluster
cluster ^nn++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
( ^zz++++=(
Figure ^np++++=Figure
S3 ^np+++??+=S3
K ^zz++++=K).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Single ^jj++++=Single-cell
- ^zz++++=EXTRAWORD
cell ^nn++++=EXTRAWORD
trajectory ^nn+++??+=trajectory
analysis ^nn++++=analysis
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
a ^at++++=a
large ^jj+atrb+++=large
fraction ^nn++++=fraction
of ^in++++=of
cytotoxic ^nn+++??+=cytotoxic
T ^zz++++=T
Fh ^np+++??+=FH
cells ^nns++++=cells
( ^zz++++=(cluster
cluster ^nn++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
separate ^vb++++=separate
trajectory ^nn+++??+=trajectory
from ^in++++=from
cluster ^nn++++=cluster
0 ^zz++++=0
cells ^nns++++=cells
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
H ^zz++++=H),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cells ^nns++++=cells
in ^in++++=in
this ^dt+dem+++=this
track ^nn++++=track
were ^vbd+bed+aux++=were
enriched ^vpsv++agls+xvbnx+=enriched
for ^in++++=for
the ^ati++++=the
Ifn ^np+++??+=IFN
response ^nn++++=response
signature ^nn++++=signature.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
transcripts ^nns+++??+=transcripts
encoding ^nn+++??+=encoding
perforin ^nn+++??+=perforin
( ^zz++++=(
Prf1 ^np++++=PRF1
) ^zz++++=)
and ^cc++++=and
the ^ati++++=the
transcription ^nn+++??+=transcription
factor ^nn++++=factor
Zbed2 ^np+++??+=ZBED2
were ^vbd+bed+aux++=were
also ^rb++splt++=also
enriched ^vpsv++agls+xvbnx+=enriched
in ^in++++=in
the ^ati++++=the
cytotoxic ^nn+++??+=cytotoxic
T ^zz++++=T
Fh ^np+++??+=FH
cell ^nn++++=cell
trajectory ^nn+++??+=trajectory,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
