Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
performed ^vbd+++xvbn+=performed
a ^at++++=a
rarefaction ^nn+++??+=rarefaction
analysis ^nn++++=analysis
on ^in++++=on
the ^ati++++=the
set ^nn+++xvbn+=set
of ^in++++=of
all ^abn++++=all
resistance ^nn++++=resistance
genes ^nns++++=genes
in ^in++++=in
the ^ati++++=the
dataset ^nn+++??+=dataset,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
call ^vb++++=call
the ^ati++++=the
panresistome ^nn+++??+=panresistome
( ^zz++++=(
Figure ^np++++=Figure
S5 ^np+++??+=S5
D ^zz++++=D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
detected ^vbd+++xvbn+=detected
species ^nns++++=species,
, ^zz++++=EXTRAWORD
the ^ati++++=the
panresistome ^nn+++??+=panresistome
also ^rb++++=also
shows ^vbz+vprv+++=shows
an ^at++++=an
open ^jj+atrb+++=open
slope ^nn++++=slope
with ^in++++=with
an ^at++++=an
expected ^jj+atrb++xvbn+=expected
rate ^nn++++=rate
of ^in++++=of
discovery ^nn++++=discovery
of ^in++++=of
1 ^zz++++=1
new ^jj+atrb+++=new
Amr ^np+++??+=AMR
gene ^np++++=gene
per ^in++++=per
10 ^cd++++=10
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
Amr ^np+++??+=AMR
gene ^np++++=gene
databases ^nns+++??+=databases
are ^vb+ber+aux++=are
rapidly ^rb++splt++=rapidly
expanding ^vbg+++xvbgx+=expanding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
no ^at++++=no
Amr ^np+++??+=AMR
genes ^nns++++=genes
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
some ^dti++++=some
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
future ^jjb+atrb+++=future
analyses ^nns++++=analyses
will ^md+prd+++=will
identify ^vb++++=identify
many ^ap++++=many
more ^rbr++++=more
resistance ^nn++++=resistance
genes ^nns++++=genes
in ^in++++=in
these ^dt+dem+++=these
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Amr ^np+++??+=AMR
genes ^nns++++=genes
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
neighborhood ^nn+++??+=neighborhood
effect ^nn++++=effect
within ^in++++=within
samples ^nns++++=samples
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
geographically ^rb++++=geographically
proximal ^jj+pred++??+=proximal,
, ^zz++++=EXTRAWORD
analogous ^jj++++=analogous
to ^in++++=to
the ^ati++++=the
effect ^nn++++=effect
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
for ^in++++=for
taxonomic ^nn+++??+=taxonomic
composition ^nn++++=composition
( ^zz++++=(
Figure ^np++++=Figure
S5 ^np+++??+=S5
C ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Excluding ^vbg+++xvbg+=Excluding
samples ^nns++++=samples
where ^wrb+who+++=where
no ^at++++=no
Amr ^np+++??+=AMR
genes ^nns++++=genes
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Jaccard ^np+++??+=Jaccard
distance ^nn++++=distance
between ^in++++=between
sets ^nns++++=sets
of ^in++++=of
Amr ^np+++??+=AMR
genes ^nns++++=genes
increases ^nns++++=increases
with ^in++++=with
distance ^nn++++=distance
for ^in++++=for
pairs ^nns++++=pairs
of ^in++++=of
samples ^nns++++=samples
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
city ^nn++++=city.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
with ^in++++=with
taxonomic ^nn+++??+=taxonomic
composition ^nn++++=composition,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
effect ^nn++++=effect
is ^vbz+bez+vrb++=is
weak ^jj+pred+++=weak
and ^cc+phrs+++=and
noisy ^jj++++=noisy
but ^cc+cls+++=but
nonetheless ^rb+cnj+++=nonetheless
significant ^jj++++=significant.
. ^zz++++=EXTRAWORD
