Completeness ^nn++++=Completeness
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^nn+++??+=pubera
genome ^nn+++??+=genome
by ^in++++=by
calculating ^xvbg+++xvbg+=calculating
the ^ati++++=the
benchmarking ^nn+++??+=benchmarking
universal ^nn++++=universal
single ^jj++++=single-copy
- ^zz++++=EXTRAWORD
copy ^nn++++=EXTRAWORD
orthologs ^nns+++??+=orthologs
( ^zz++++=(BUSCOs)
buscos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
score ^vb++++=score
revealed ^vbd+vprv++xvbn+=revealed
a ^at++++=a
surprisingly ^rb++++=surprisingly
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
gene ^np++++=gene
duplications ^nns+++??+=duplications
( ^zz++++=(96.0%
96.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
duplicated ^vbd+++xvbn+=duplicated
Buscos ^np+++??+=BUSCOs)
) ^zz++++=EXTRAWORD
( ^zz++++=(
Figure ^np++++=Figure
S2 ^np+++??+=S2
B ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Annotation ^np+++??+=Annotation
of ^in++++=of
the ^ati++++=the
genome ^nn+++??+=genome
yielded ^vbd+++xvbn+=yielded
far ^rb+pl+++=far
more ^ql++++=more
high ^jj++++=high-confidence
- ^zz++++=EXTRAWORD
confidence ^nn++++=EXTRAWORD
gene ^np++++=gene
models ^nns++++=models
( ^zz++++=(91,363)
91,363 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^jj+++??+=pubera
compared ^jj+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
species ^nns++++=species
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
D ^zz++++=D
and ^cc++++=and
1e ^cd++++=1E;
; ^zz++++=EXTRAWORD
Table ^nn++++=Table
S1 ^np+++??+=S1
) ^zz++++=),
, ^zz++++=EXTRAWORD
confirming ^vbg+vpub++xvbg+=confirming
the ^ati++++=the
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
gene ^np++++=gene
duplication ^nn++++=duplication
( ^zz++++=(
Figure ^np++++=Figure
S2 ^np+++??+=S2
C ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Self ^nn++++=Self-synteny
- ^zz++++=EXTRAWORD
synteny ^nn+++??+=EXTRAWORD
analysis ^nn++++=analysis
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
the ^ati++++=the
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^nn+++??+=pubera
genome ^nn+++??+=genome
comprises ^vbz++++=comprises
two ^cd++++=two
large ^jj+atrb+++=large
syntenic ^nn+++??+=syntenic
blocks ^nns++++=blocks
in ^in++++=in
four ^cd++++=four
copies ^nns++++=copies
across ^in+pl+++=across
the ^ati++++=the
five ^cd++++=five
chromosomes ^nns+++??+=chromosomes
( ^zz++++=(
Figure ^np++++=Figure
S3 ^np+++??+=S3
A ^at++++=A).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
larger ^jjr+atrb+++=larger
syntenic ^nn+++??+=syntenic
block ^nn++++=block,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Block1 ^np+++??+=Block1,
, ^zz++++=EXTRAWORD
corresponded ^j+++xvbn+=corresponded
to ^in++++=to
the ^ati++++=the
entire ^jjb++++=entire
Rp ^np+++??+=Rp
Chr4 ^np+++??+=Chr4
and ^cc++++=and
Rp ^np+++??+=Rp
Chr5 ^np+++??+=Chr5
and ^cc++++=and
contributed ^vpsv++agls+xvbn+=contributed
to ^in++++=to
a ^at++++=a
large ^jj+atrb+++=large
fraction ^nn++++=fraction
of ^in++++=of
both ^abx++++=both
Rp ^np+++??+=Rp
Chr1 ^np+++??+=Chr1
and ^cc++++=and
Rp ^np+++??+=Rp
Chr2 ^np+++??+=Chr2.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
identified ^vbd+++xvbn+=identified
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
block ^nn++++=block,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Block2 ^np+++??+=Block2,
, ^zz++++=EXTRAWORD
twice ^rb++++=twice
in ^in++++=in
an ^at++++=an
inverted ^jj+atrb++xvbn+=inverted
arrangement ^nn++++=arrangement
in ^in++++=in
Rp ^np+++??+=Rp
Chr3 ^np+++??+=Chr3,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
Rp ^np+++??+=Rp
Chr1 ^np++++=Chr1
And ^cc++++=and
Rp ^np++++=Rp
Chr2 ^np++++=Chr2
 ^zz++++=(
Figure ^np++++=Figure
S3 ^np++++=S3
A ^at++++=A).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
