The ^ati++++=The
distribution ^nn++++=distribution
of ^in++++=of
synonymous ^jj+atrb+++=synonymous
substitutions ^nns++++=substitutions
per ^in++++=per
synonymous ^jj+atrb+++=synonymous
site ^nn++++=site
( ^zz++++=(Ks)
ks ^nps++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
coding ^xvbg+++xvbg+=coding
sequences ^nns++++=sequences
over ^in++++=over
the ^ati++++=the
intragenomic ^nn+++??+=intragenomic
syntenic ^nn+++??+=syntenic
blocks ^nns++++=blocks
in ^in++++=in
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^nn+++??+=pubera
had ^vb+hv+vrb++=had
a ^at++++=a
large ^jj+atrb+++=large
peak ^nn++++=peak
indicative ^jj++++=indicative
of ^in++++=of
recent ^jj++++=recent
and ^cc+phrs+++=and
successive ^jj++++=successive
whole ^jj++++=whole-genome
- ^zz++++=EXTRAWORD
genome ^nn+++??+=EXTRAWORD
duplication ^nn++++=duplication
( ^zz++++=(WGD)
wgd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
events ^nns++++=events.
. ^zz++++=EXTRAWORD
An ^at++++=An
additional ^jj+atrb+++=additional
small ^jj+atrb+++=small
peak ^nn++++=peak
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
ancient ^jj+atrb+++=ancient
Wgd ^np+++??+=WGD
( ^zz++++=(
Figure ^np++++=Figure
S3 ^np+++??+=S3
B ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
By ^in++++=By
filtering ^xvbg+++xvbg+=filtering
out ^rp+pl+++=out
the ^ati++++=the
sequences ^nns++++=sequences
showing ^vwbg+vprv++xvbg+=showing
the ^ati++++=the
lowest ^jjt++++=lowest
Ks ^np+++??+=Ks
values ^nns++++=values,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
determined ^vbd+++xvbn+=determined
that ^tht+vcmp+++=that
Block1 ^np+++??+=Block1
from ^in++++=from
Rp ^np+++??+=Rp
Chr1 ^np+++??+=Chr1
shows ^vbz+vprv+++=shows
higher ^jjr+atrb+++=higher
sequence ^nn++++=sequence
identity ^nn++++=identity
to ^in++++=to
Rp ^np+++??+=Rp
Chr4 ^np+++??+=Chr4,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
renamed ^vbd+++xvbn+=renamed
Block1a1 ^np+++??+=Block1A1
and ^cc++++=and
Block1a2 ^np+++??+=Block1A2,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Block1 ^np+++??+=Block1
from ^in++++=from
Rp ^np+++??+=Rp
Chr2 ^np+++??+=Chr2
showed ^vbd+vprv++xvbn+=showed
higher ^jjr+atrb+++=higher
sequence ^nn++++=sequence
identity ^nn++++=identity
to ^in++++=to
Rp ^np+++??+=Rp
Chr5 ^np+++??+=Chr5,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
thus ^rb+cnj+splt++=thus
named ^vpsv++agls+xvbnx+=named
Block1b1 ^np+++??+=Block1B1
and ^cc++++=and
Block1b2 ^np+++??+=Block1B2,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(
Figures ^np++++=Figures
S3 ^np+++??+=S3
B ^zz++++=B
and ^cc++++=and
S3c ^np+++??+=S3C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
confirmed ^vbd+vpub++xvbn+=confirmed
the ^ati++++=the
relationships ^nns++++=relationships
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
Block1 ^np+++??+=Block1
copies ^nns++++=copies
by ^in++++=by
comparative ^jj+atrb+++=comparative
phylogenetic ^jj+atrb+++=phylogenetic
analysis ^nn++++=analysis
( ^zz++++=(
Figure ^np++++=Figure
S3 ^np+++??+=S3
D ^zz++++=D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
similar ^jj+atrb+++=similar
analysis ^nn++++=analysis
of ^in++++=of
Block2 ^np+++??+=Block2
copies ^nns++++=copies
was ^vbd+bedz+vrb++=was
inconclusive ^jj+pred+++=inconclusive
( ^zz++++=(
Figures ^np++++=Figures
S3 ^np+++??+=S3
C ^zz++++=C
and ^cc++++=and
S3e ^np+++??+=S3E).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
k ^zz++++=k-mer
- ^zz++++=EXTRAWORD
mer ^nn+++??+=EXTRAWORD
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
provides ^vbz+vsua+++=provides
information ^nn++++=information
on ^in++++=on
genome ^nn+++??+=genome
size ^nn++++=size,
, ^zz++++=EXTRAWORD
ploidy ^nn+++??+=ploidy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
genome ^jj+atrb++??+=genome
structure ^nn++++=structure
through ^in++++=through
scrutiny ^nn++++=scrutiny
of ^in++++=of
heterozygous ^nns+++??+=heterozygous
k ^zz++++=k-mer
- ^zz++++=EXTRAWORD
mer ^nn+++??+=EXTRAWORD
pairs ^nns++++=pairs
( ^zz++++=(
Ranallo ^np++++=Ranallo-Benavidez
- ^zz++++=EXTRAWORD
benavidez ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
78 ^cd++++=78.
. ^zz++++=EXTRAWORD
Ranallo ^np+++??+=Ranallo-Benavidez,
- ^zz++++=EXTRAWORD
benavidez ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
T.r ^np+++??+=T.R.
. ^zz++++=EXTRAWORD
Jaron ^np+++??+=Jaron,
, ^zz++++=EXTRAWORD
K.s ^np+++??+=K.S.
. ^zz++++=EXTRAWORD
Schatz ^np+++??+=Schatz,
, ^zz++++=EXTRAWORD
M.c ^np+++??+=M.C.
. ^zz++++=EXTRAWORD
Genomescope ^np+++??+=GenomeScope
2.0 ^cd++++=2.0
and ^cc++++=and
Smudgeplot ^np+++??+=Smudgeplot
for ^in++++=for
reference ^nn++++=reference-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
profiling ^nn+++??+=profiling
of ^in++++=of
polyploid ^nn+++??+=polyploid
genomes ^nns+++??+=genomes
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Commun ^np+++??+=Commun.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
11 ^cd++++=11
: ^zz++++=:1432
1432 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(166)
166 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
detected ^vbd+++xvbn+=detected
a ^at++++=a
higher ^jjr+atrb+++=higher
incidence ^nn++++=incidence
of ^in++++=of
homozygous ^nns+++??+=homozygous
and ^cc++++=and
duplicated ^vbd+++xvbn+=duplicated
k ^zz++++=k-mers,
- ^zz++++=EXTRAWORD
mers ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
favoring ^nn+++??+=favoring
an ^at++++=an
autopolyploidy ^nn+++??+=autopolyploidy
genome ^nn+++??+=genome
model ^nn++++=model
for ^in++++=for
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^nn+++??+=pubera
( ^zz++++=(
Figures ^np++++=Figures
S3 ^np+++??+=S3
F ^zz++++=F
and ^cc++++=and
S3g ^np+++??+=S3G).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
analysis ^nn++++=analysis
accurately ^rb++++=accurately
determined ^jj+++xvbn+=determined
the ^ati++++=the
diploid ^jj+atrb+++=diploid
heterozygous ^nns+++??+=heterozygous
state ^nn++++=state
of ^in++++=of
R ^zz++++=R.
. ^zz++++=EXTRAWORD
breviuscula ^nn+++??+=breviuscula
and ^cc++++=and
R ^zz++++=R.
. ^zz++++=EXTRAWORD
tenuis ^nns+++??+=tenuis
( ^zz++++=(
Figure ^np++++=Figure
S4 ^np+++??+=S4
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
pubera ^nn+++??+=pubera
has ^vbz+hvz+vrb++=has
an ^at++++=an
auto ^nn++++=auto-octoploid
- ^zz++++=EXTRAWORD
octoploid ^nn+++??+=EXTRAWORD
genome ^nn+++??+=genome
shaped ^vwbn+++xvbn+=shaped
by ^in++++=by
two ^cd++++=two
rounds ^nns++++=rounds
of ^in++++=of
genome ^nn+++??+=genome
doubling ^xvbg+++xvbg+=doubling
explaining ^vbg+vpub++xvbg+=explaining
its ^pp$+it+++=its
large ^jj+atrb+++=large
genome ^nn+++??+=genome
size ^nn++++=size.
. ^zz++++=EXTRAWORD
Post ^nn++++=Post-polyploid
- ^zz++++=EXTRAWORD
polyploid ^nn+++??+=EXTRAWORD
genome ^nn+++??+=genome
shuffling ^vwbg+++xvbg+=shuffling
events ^nns++++=events
considerably ^rb++++=considerably
reduced ^vpsv++agls+xvbn+=reduced
the ^ati++++=the
chromosome ^nn++++=chromosome
number ^nn++++=number
to ^to++++=to
n ^zz++++=n
= ^zz++++==
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
