Like ^in++++=Like
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neurons ^nns+++??+=neurons,
, ^zz++++=EXTRAWORD
aic ^nn+++??+=aIC
Nts ^np+++??+=NTS
neurons ^nns+++??+=neurons
showed ^vbd+vprv++xvbn+=showed
excitatory ^nn+++??+=excitatory
or ^cc++++=or
inhibitory ^jj+atrb++??+=inhibitory
response ^nn++++=response
to ^in++++=to
sucrose ^nn+++??+=sucrose
and ^cc++++=and
quinine ^nn+++??+=quinine
that ^tht+rel+subj++=that
scaled ^vprf+++xvbn+=scaled
up ^rp++++=up
or ^cc+phrs+++=or
down ^rp++++=down
with ^in++++=with
the ^ati++++=the
licking ^jj+atrb++xvbg+=licking
rates ^nns++++=rates
of ^in++++=of
the ^ati++++=the
mice ^nns++++=mice
( ^zz++++=(
Figures ^np++++=Figures
S5 ^np+++??+=S5
A ^at++++=A
S5c ^np+++??+=S5C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
response ^nn++++=response
amplitudes ^nns+++??+=amplitudes
of ^in++++=of
many ^ap++++=many
neurons ^nns+++??+=neurons
showed ^vbd+vprv++xvbn+=showed
positive ^jj+atrb+++=positive
or ^cc+phrs+++=or
negative ^jj+atrb+++=negative
correlations ^nns++++=correlations
with ^in++++=with
the ^ati++++=the
licking ^jj+atrb++xvbg+=licking
rates ^nns++++=rates
during ^in++++=during
liquid ^jj+atrb+++=liquid
consumption ^nn++++=consumption
( ^zz++++=(
Figures ^np++++=Figures
S5 ^np+++??+=S5
D ^zz++++=D
and ^cc++++=and
S5e ^np+++??+=S5E)
) ^zz++++=EXTRAWORD
but ^cc++++=but
not ^xnot++not++=not
during ^in++++=during
baseline ^nn+++??+=baseline
periods ^nns++++=periods
( ^zz++++=(
Figure ^np++++=Figure
S5 ^np+++??+=S5
F ^zz++++=F).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
with ^in++++=with
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neurons ^nns+++??+=neurons,
, ^zz++++=EXTRAWORD
a ^at++++=a
much ^ap++++=much
larger ^jjr+atrb+++=larger
fraction ^nn++++=fraction
of ^in++++=of
aic ^nn+++??+=aIC
Nts ^np+++??+=NTS
neurons ^nns+++??+=neurons
showed ^vbd+vprv++xvbn+=showed
excitatory ^jj+atrb++??+=excitatory
response ^nn++++=response
to ^in++++=to
sucrose ^nn+++??+=sucrose
( ^zz++++=(aIC
aic ^nn+++??+=EXTRAWORD
Nts ^np+++??+=NTS
, ^zz++++=,
34.5 ^cd++++=34.5%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
, ^zz++++=,
19.5 ^cd+date+++=19.5%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
to ^in++++=to
both ^abx++++=both
sucrose ^nn+++??+=sucrose
and ^cc++++=and
quinine ^nn+++??+=quinine
( ^zz++++=(aIC
aic ^nn+++??+=EXTRAWORD
Nts ^np+++??+=NTS
, ^zz++++=,
14 ^cd++++=14%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
, ^zz++++=,
8.4 ^cd++++=8.4%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(
figures ^nns++++=Figures
s5 ^np++++=S5
g ^zz++++=G
and ^cc++++=and
s5h ^np++++=S5H).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
