Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
mice ^nns++++=mice
in ^in++++=in
a ^at++++=a
progressive ^jj++++=progressive-ratio
- ^zz++++=EXTRAWORD
ratio ^nn++++=EXTRAWORD
( ^zz++++=(PR)
pr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
task ^nn++++=task
( ^zz++++=(
Figures ^np++++=Figures
3 ^zz++++=3
Q ^zz++++=Q
3u ^cd++++=3U).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
task ^nn++++=task,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effort ^nn++++=effort
required ^vbd+++xvbn+=required
for ^in++++=for
thirsty ^jj+atrb+++=thirsty
mice ^nns++++=mice
to ^to++++=to
attain ^vbi++++=attain
water ^nn++++=water
increased ^vbd+++xvbn+=increased
progressively ^rb+cnj+++=progressively,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
breakpoint ^nn+++??+=breakpoint
at ^rb++++=at
which ^whp+who+++=which
the ^ati++++=the
mice ^nns++++=mice
stopped ^vbd+++xvbn+=stopped
responding ^vbg+++xvbg+=responding
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
motivation ^nn++++=motivation
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
Q ^zz++++=Q).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
sessions ^nns++++=sessions,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
optogenetically ^nn+++??+=optogenetically
activated ^nn+++??+=activated
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
Nts ^np+++??+=NTS.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
manipulation ^nn++++=manipulation
significantly ^rb++++=significantly
increased ^vbd+++xvbn+=increased
the ^ati++++=the
breakpoint ^nn+++??+=breakpoint
and ^cc++++=and
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
reward ^nn++++=reward-seeking
- ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=EXTRAWORD
actions ^nns++++=actions
( ^zz++++=(
Figures ^np++++=Figures
3 ^zz++++=3
R ^zz++++=R
3u ^cd++++=3U).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
Nts ^np+++??+=NTS
activation ^nn+++??+=activation
promotes ^vbz++++=promotes
the ^ati++++=the
effort ^nn++++=effort
an ^at++++=an
animal ^nn++++=animal
spends ^vbz++++=spends
in ^in++++=in
pursuing ^vbg+++xvbg+=pursuing
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
