Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Human ^jj+atrb+++=Human
Influenza ^nn++++=Influenza
( ^zz++++=(FLU),
flu ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Parainfluenza ^np+++??+=Parainfluenza
( ^zz++++=(HPIV)
hpiv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Metapneumovirus ^np+++??+=Metapneumovirus
( ^zz++++=(HMPV)
hmpv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
epitope ^nn+++??+=epitope
pools ^nns++++=pools
utilized ^vbd+++xvbn+=utilized
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper
will ^md+prd+++=will
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
available ^jj++++=available
to ^in++++=to
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn++++=community
upon ^in++++=upon
request ^nn++++=request
and ^cc++++=and
execution ^nn++++=execution
of ^in++++=of
a ^at++++=a
material ^nn++++=material
transfer ^nn++++=transfer
agreement ^nn++++=agreement
( ^zz++++=(MTA)
mta ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
directed ^vbd+++xvbn+=directed
to ^in++++=to
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Alessandro ^np++++=Alessandro
Sette ^np+++??+=Sette
( ^zz++++=(
alex@lji.org ^nn+++??+=alex@lji.org
) ^zz++++=).
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
might ^md+pos+++=might
be ^vb+be+vrb++=be
restrictions ^nns++++=restrictions
on ^in++++=on
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
the ^ati++++=the
peptide ^nn++++=peptide
reagents ^nns++++=reagents
due ^jj++++=due
to ^to+jcmp+++=to
cost ^vb++++=cost
and ^cc++++=and
limited ^jj+atrb+++=limited
quantity ^nn++++=quantity
