Postoperative ^np+++??+=Postoperative
evaluations ^nns+++??+=evaluations
were ^vbd+bed+aux++=were
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
two ^cd++++=two
physicians ^nns++++=physicians:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
physician ^nn++++=physician,
, ^zz++++=EXTRAWORD
equipped ^j+++xvbn+=equipped
with ^in++++=with
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
( ^zz++++=(PPE),
ppe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
the ^ati++++=the
patient ^nn++++=patient's
's ^$++++=EXTRAWORD
room ^nn++++=room
to ^to++++=to
perform ^vbi++++=perform
the ^ati++++=the
assessment ^nn++++=assessment,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
second ^od++++=second
physician ^nn++++=physician
remained ^vbd+++xvbn+=remained
outside ^jjb++++=outside
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
an ^at++++=an
area ^nn++++=area
designated ^vbd+++xvbn+=designated
as ^in++++=as
" ^zz++++="uncontaminated."
uncontaminated ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
protocol ^nn++++=protocol
was ^vbd+bedz+aux++=was
implemented ^vpsv++agls+xvbnx+=implemented
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
cross ^jj++++=cross-contamination
- ^zz++++=EXTRAWORD
contamination ^nn++++=EXTRAWORD
among ^in++++=among
healthcare ^nn++++=healthcare
personnel ^nns++++=personnel.
. ^zz++++=EXTRAWORD
