With ^in++++=With
the ^ati++++=the
release ^nn++++=release
of ^in++++=of
the ^ati++++=the
2019 ^cd++++=2019
Journal ^nn++++=Journal
Impact ^nn++++=Impact
Factor ^nn++++=Factor
( ^zz++++=(JIF)
jif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
Journal ^nn++++=Journal
Citation ^np+++??+=Citation
Reports ^nns++++=Reports
( ^zz++++=(JCR),
jcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
considerable ^jj+atrb+++=considerable
attention ^nn++++=attention
was ^vbd+bedz+aux++=was
directed ^vpsv++agls+xvbnx+=directed
toward ^in++++=toward
journal ^nn++++=journal
rankings ^nns++++=rankings,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
following ^vbg+++xvbg+=following
the ^ati++++=the
suppression ^nn++++=suppression
of ^in++++=of
Zootaxa ^np+++??+=Zootaxa,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
generated ^vbd+++xvbn+=generated
significant ^jj+atrb+++=significant
debate ^nn++++=debate
among ^in++++=among
editors ^nns++++=editors
and ^cc++++=and
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
response ^nn++++=response
was ^vbd+bedz+vrb++=was
unusually ^rb++++=unusually
swift ^jj+pred+++=swift
and ^cc+phrs+++=and
widespread ^jj++++=widespread,
, ^zz++++=EXTRAWORD
with ^in++++=with
numerous ^jj+atrb+++=numerous
letters ^nns++++=letters
of ^in++++=of
support ^nn++++=support
and ^cc++++=and
petitions ^nns++++=petitions
from ^in++++=from
various ^jj+atrb+++=various
societies ^nns++++=societies
and ^cc++++=and
researchers ^nns+++??+=researchers
urging ^vwbg+++xvbg+=urging
Clarivate ^np+++??+=Clarivate
to ^in++++=to
reconsider ^nn+++??+=reconsider
its ^pp$+it+++=its
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
The ^ati++++=The
suppression ^nn++++=suppression
of ^in++++=of
Zootaxa ^np+++??+=Zootaxa
presents ^vbz++++=presents
several ^ap++++=several
unique ^jj+atrb+++=unique
aspects ^nns++++=aspects
that ^tht+rel+obj++=that
warrant ^nn++++=warrant
detailed ^jj+atrb+++=detailed
examination ^nn++++=examination.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
supporting ^jj+atrb++xvbg+=supporting
letters ^nns++++=letters
were ^vbd+bed+vrb++=were
overtly ^rb++++=overtly
political ^jj+pred+++=political
in ^in++++=in
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
demonstrated ^jj+++xvbn+=demonstrated
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
or ^cc++++=or
misrepresented ^nn+++??+=misrepresented
the ^ati++++=the
situation ^nn++++=situation
as ^in++++=as
a ^at++++=a
broader ^nn++++=broader
attack ^vb++++=attack
on ^in++++=on
taxonomy ^nn+++??+=taxonomy
as ^ql++++=as
a ^at++++=a
scientific ^jj+atrb+++=scientific
discipline ^nn++++=discipline.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
more ^rbr++++=more
extreme ^jj+atrb+++=extreme
arguments ^nns++++=arguments
was ^vbd+bedz+vrb++=was
the ^ati++++=the
claim ^nn++++=claim
that ^tht+ncmp+++=that
Zootaxa ^np+++??+=Zootaxa
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
the ^ati++++=the
only ^rb+down+++=only
viable ^jj+atrb+++=viable
outlet ^nn++++=outlet
for ^in++++=for
taxonomic ^nn+++??+=taxonomic
publications ^nns++++=publications,
, ^zz++++=EXTRAWORD
a ^at++++=a
statement ^nn++++=statement
that ^tht+ncmp+++=that
is ^vbz+bez+vrb++=is
demonstrably ^rb++++=demonstrably
inaccurate ^jj+pred+++=inaccurate.
. ^zz++++=EXTRAWORD
In ^in++++=In
late ^jj+atrb+++=late
July ^nr++++=July,
, ^zz++++=EXTRAWORD
Clarivate ^np+++??+=Clarivate
issued ^vbd+++xvbn+=issued
a ^at++++=a
brief ^jj+atrb+++=brief
statement ^nn++++=statement
on ^in++++=on
Twitter ^np+++??+=Twitter
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
both ^abx++++=both
Zootaxa ^np+++??+=Zootaxa
and ^cc++++=and
the ^ati++++=the
International ^jj+atrb+++=International
Journal ^nn++++=Journal
of ^in++++=of
Systematic ^jj+atrb+++=Systematic
and ^cc+phrs+++=and
Evolutionary ^jj+atrb+++=Evolutionary
Microbiology ^np+++??+=Microbiology
would ^md+prd+++=would
be ^vb+be+aux++=be
reconsidered ^vpsv++agls+xvbnx+=reconsidered
during ^in++++=during
the ^ati++++=the
regular ^jj+atrb+++=regular
update ^nn+++??+=update
of ^in++++=of
the ^ati++++=the
Jcr ^np+++??+=JCR
scheduled ^vbd+++xvbn+=scheduled
for ^in++++=for
September ^nr++++=September.
. ^zz++++=EXTRAWORD
Suppression ^nn++++=Suppression
of ^in++++=of
journals ^nns++++=journals
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
uncommon ^jj++++=uncommon
and ^cc++++=and
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
exclusive ^jj++++=exclusive
to ^in++++=to
the ^ati++++=the
Clarivate ^np+++??+=Clarivate
platform ^nn++++=platform;
; ^zz++++=EXTRAWORD
most ^ql+emph+++=most
cases ^nns++++=cases
are ^vb+ber+aux++=are
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
allegations ^nns++++=allegations
of ^in++++=of
artificial ^jj+atrb+++=artificial
inflation ^nn++++=inflation
of ^in++++=of
impact ^nn++++=impact
factors ^nns++++=factors
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cortegiani ^np+++??+=Cortegiani
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
a ^at++++=a
decade ^nn++++=decade
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
four ^cd++++=four
Brazilian ^jj+atrb+++=Brazilian
journals ^nns++++=journals
were ^vbd+bed+aux++=were
suppressed ^vpsv++agls+xvbnx+=suppressed
following ^jj+atrb++xvbg+=following
accusations ^nns++++=accusations
of ^in++++=of
citation ^nn+++??+=citation
stacking ^vwbg+++xvbg+=stacking,
, ^zz++++=EXTRAWORD
a ^at++++=a
practice ^nn++++=practice
involving ^vwbg+++xvbg+=involving
reciprocal ^jj+atrb+++=reciprocal
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
among ^in++++=among
a ^at++++=a
group ^nn++++=group
of ^in++++=of
journals ^nns++++=journals
( ^zz++++=(Van
van ^&fw++++=EXTRAWORD
Norden ^np+++??+=Norden
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
such ^abl++++=such
cases ^nns++++=cases
have ^vb+hv+vrb++=have
rarely ^rb++++=rarely
elicited ^jj+atrb++??+=elicited
widespread ^jj+atrb+++=widespread
support ^nn++++=support
from ^in++++=from
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn++++=community,
, ^zz++++=EXTRAWORD
except ^in++++=except
from ^in++++=from
those ^dt+pdem+++=those
directly ^rb++++=directly
involved ^vbd+++xvbn+=involved,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
general ^jj+atrb+++=general
consensus ^nn++++=consensus
that ^tht+rel+obj++=that
the ^ati++++=the
affected ^jj+atrb++xvbn+=affected
journals ^nns++++=journals
merited ^vbd+++xvbn+=merited
exclusion ^nn++++=exclusion.
. ^zz++++=EXTRAWORD
Removal ^nn++++=Removal
from ^in++++=from
the ^ati++++=the
Jif ^np+++??+=JIF
effectively ^rb++++=effectively
excludes ^vbz+++??+=excludes
a ^at++++=a
journal ^nn++++=journal
from ^in++++=from
the ^ati++++=the
competitive ^jj+atrb+++=competitive
pursuit ^nn++++=pursuit
of ^in++++=of
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
academic ^jj+atrb+++=academic
publishing ^nn++++=publishing.
. ^zz++++=EXTRAWORD
