A ^at++++=A
published ^jj+atrb++xvbn+=published
study ^nn++++=study
conducted ^vbd+++xvbn+=conducted
an ^at++++=an
analysis ^nn++++=analysis
with ^in++++=with
a ^at++++=a
data ^nns++++=data
cutoff ^nn+++??+=cutoff
on ^in++++=on
March ^nr++++=March
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
reporting ^vbg+++xvbg+=reporting
correlations ^nns++++=correlations
between ^in++++=between
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
and ^cc++++=and
both ^abx++++=both
the ^ati++++=the
incidence ^nn++++=incidence
and ^cc++++=and
lethality ^nn+++??+=lethality
of ^in++++=of
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
data ^nns++++=data
sources ^nns++++=sources
were ^vbd+bed+vrb++=were
comparable ^jj+pred+++=comparable,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
utilized ^vbd+++xvbn+=utilized
initial ^jj+atrb+++=initial
acceleration ^nn++++=acceleration
rates ^nns++++=rates
of ^in++++=of
case ^nn++++=case
numbers ^nns++++=numbers
and ^cc++++=and
deaths ^nns++++=deaths
up ^in+cmpx+++=up
to ^in++++=to
April ^nr++++=April
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
subsequent ^jj+atrb+++=subsequent
acceleration ^nn++++=acceleration
rates ^nns++++=rates
from ^in++++=from
April ^nr++++=April
11 ^cd++++=11
to ^in++++=to
May ^md+pos+++=May
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
figures ^nns++++=Figures
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
