Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
addresses ^nns++++=addresses
the ^ati++++=the
following ^jj+atrb++xvbg+=following
areas ^nns++++=areas:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
strategies ^nns+++??+=strategies
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
telemedicine ^nn+++??+=telemedicine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
intervals ^nns++++=intervals
between ^in++++=between
laboratory ^nn++++=laboratory
testing ^vwbg+++xvbg+=testing
and ^cc++++=and
imaging ^nn+++??+=imaging;
; ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
approaches ^nns++++=approaches
to ^in++++=to
relapse ^nn++++=relapse
management ^nn++++=management,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
avoiding ^jj+atrb++xvbg+=avoiding
treatment ^nn++++=treatment
for ^in++++=for
mild ^jj+atrb+++=mild
relapses ^nns+++??+=relapses
and ^cc++++=and
utilizing ^jj+atrb++??+=utilizing
oral ^jj+atrb+++=oral
corticosteroids ^nns+++??+=corticosteroids
when ^wrb+who+++=when
appropriate ^jj++++=appropriate;
; ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
management ^nn++++=management
of ^in++++=of
disease ^nn++++=disease-modifying
- ^zz++++=EXTRAWORD
modifying ^vbg+++xvbg+=EXTRAWORD
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
preference ^nn++++=preference
for ^in++++=for
agents ^nns++++=agents
associated ^vbd+++xvbn+=associated
with ^in++++=with
a ^at++++=a
lower ^nn++++=lower
risk ^vb++++=risk
of ^in++++=of
infection ^nn++++=infection
( ^zz++++=(including
including ^in++++=EXTRAWORD
interferons ^nns+++??+=interferons,
, ^zz++++=EXTRAWORD
glatiramer ^nn+++??+=glatiramer
acetate ^nn+++??+=acetate,
, ^zz++++=EXTRAWORD
teriflunomide ^nn+++??+=teriflunomide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
natalizumab ^nn+++??+=natalizumab),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consideration ^nn++++=consideration
of ^in++++=of
extended ^vbd+++xvbn+=extended-interval
- ^zz++++=EXTRAWORD
interval ^nn++++=EXTRAWORD
dosing ^nn++++=dosing
of ^in++++=of
natalizumab ^nn+++??+=natalizumab
when ^wrb+who+++=when
clinically ^rb++++=clinically
justified ^vbd+++xvbn+=justified;
; ^zz++++=EXTRAWORD
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
individualization ^nn+++??+=individualization
of ^in++++=of
induction ^nn++++=induction
therapy ^nn++++=therapy
for ^in++++=for
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
with ^in++++=with
anti ^nn+++??+=anti-CD20
- ^zz++++=EXTRAWORD
cd20 ^nn+++??+=EXTRAWORD
monoclonal ^nn+++??+=monoclonal
antibodies ^nns++++=antibodies,
, ^zz++++=EXTRAWORD
alemtuzumab ^nn+++??+=alemtuzumab,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cladribine ^nn+++??+=cladribine;
; ^zz++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
management ^nn++++=management
of ^in++++=of
preventive ^jj+atrb+++=preventive
therapies ^nns+++??+=therapies
for ^in++++=for
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD),
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
encompassing ^nn+++??+=encompassing
both ^abx++++=both
initial ^jj+atrb+++=initial
therapy ^nn++++=therapy
selection ^nn++++=selection
and ^cc++++=and
ongoing ^jj+atrb++??+=ongoing
treatment ^nn++++=treatment
maintenance ^nn++++=maintenance;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
6 ^zz++++=6)
) ^zz++++=EXTRAWORD
management ^nn++++=management
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
multiple ^jj+atrb+++=multiple
sclerosis ^nns++++=sclerosis
or ^cc++++=or
nmosd ^np++++=NMOSD
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
infected ^vpsv++agls+xvbn+=infected
with ^in++++=with
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
