According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Strobe ^np+++??+=STROBE
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
the ^ati++++=the
median ^jjb+atrb+++=median
quality ^nn++++=quality
score ^nn++++=score
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
was ^vbd+bedz+vrb++=was
17.7 ^cd+date+++=17.7,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
interquartile ^nn+++??+=interquartile
range ^nn++++=range
of ^in++++=of
15.6 ^cd++++=15.6
to ^to++++=to
18.8 ^cd+date+++=18.8
and ^cc++++=and
a ^at++++=a
total ^jj+atrb+++=total
score ^nn++++=score
range ^nn++++=range
from ^in++++=from
15.6 ^cd++++=15.6
to ^to++++=to
20 ^cd++++=20
points ^nns++++=points.
. ^zz++++=EXTRAWORD
All ^abn++++=All
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies
achieved ^vwbn+++xvbn+=achieved
scores ^nns++++=scores
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
more ^rbr++++=more
than ^in++++=than
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
maximum ^jj+atrb+++=maximum
possible ^jj+atrb+++=possible
value ^nn++++=value
for ^in++++=for
this ^dt+dem+++=this
indicator ^nn++++=indicator
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
chart ^nn++++=Chart
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
