Figures ^nns++++=Figures
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5
illustrate ^vb++++=illustrate
distinct ^jj+atrb+++=distinct
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
underscoring ^nn+++??+=underscoring
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
localized ^nn+++??+=localized
information ^nn++++=information
in ^in++++=in
formulating ^xvbg+++xvbg+=formulating
effective ^jj+atrb+++=effective
strategies ^nns+++??+=strategies
to ^in++++=to
address ^nn++++=address
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
Sds ^np+++??+=SDS
implemented ^vwbn+++xvbn+=implemented
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
City ^nn++++=City
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
stabilization ^nn+++??+=stabilization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases
a ^at++++=a
slight ^jj+atrb+++=slight
decrease ^nn++++=decrease,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
between ^in++++=between
April ^nr++++=April
7 ^zz++++=7
and ^cc++++=and
April ^nr++++=April
20 ^cd++++=20.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
measures ^nns++++=measures
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
less ^rbr++++=less
effective ^jj++++=effective
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
situation ^nn++++=situation
at ^in++++=at
the ^ati++++=the
national ^jj+atrb+++=national
level ^nn++++=level
in ^in++++=in
Brazil ^np++++=Brazil
was ^vbd+bedz+vrb++=was
considerably ^rb++++=considerably
more ^rbr++++=more
severe ^jj++++=severe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+tht0++=note
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
following ^jj+atrb++xvbg+=following
April ^nr++++=April
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
City ^npl++++=City
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
slight ^jj+atrb+++=slight
increase ^nn++++=increase,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
figure ^nn++++=Figure
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
