Intermediate ^jj+atrb+++=Intermediate
doses ^nns++++=doses
of ^in++++=of
low ^jj+atrb+++=low
molecular ^jj+atrb+++=molecular
weight ^nn++++=weight
heparin ^nn+++??+=heparin
( ^zz++++=(LMWH)
lmwh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
for ^in++++=for
patients ^nns++++=patients
who ^whp+rel+obj++=who
present ^nn++++=present
with ^in++++=with
multiple ^nn++++=multiple
risk ^vb++++=risk
factors ^nns++++=factors
for ^in++++=for
venous ^nns++++=venous
thromboembolism ^nn++++=thromboembolism
( ^zz++++=(VTE).
vte ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
