During ^in++++=During
the ^ati++++=the
intervention ^nn++++=intervention
period ^nn++++=period,
, ^zz++++=EXTRAWORD
teachers ^nns++++=teachers
instructed ^vwbn+++xvbn+=instructed
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
various ^jj+atrb+++=various
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
deemed ^vwbn+++xvbn+=deemed
suitable ^jj++++=suitable
for ^in++++=for
each ^ppls++++=each
reading ^np+++xvbg+=reading
text ^nn++++=text.
. ^zz++++=EXTRAWORD
Reading ^vbg+++xvbg+=Reading
materials ^nns++++=materials
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
age ^nn++++=age
and ^cc++++=and
interests ^nns++++=interests
of ^in++++=of
the ^ati++++=the
group ^nn++++=group
to ^to++++=to
promote ^vbi++++=promote
student ^nn++++=student
engagement ^nn++++=engagement.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
new ^jj+atrb+++=new
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
were ^vbd+bed+aux++=were
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group,
, ^zz++++=EXTRAWORD
the ^ati++++=the
teacher ^nn++++=teacher
explicitly ^rb++++=explicitly
explained ^vbd+vpub++xvbn+=explained
their ^pp$+pp3+++=their
purpose ^nn++++=purpose
and ^cc++++=and
provided ^xvbn+++xvbn+=provided
guidance ^nn++++=guidance
on ^in++++=on
their ^pp$+pp3+++=their
application ^nn++++=application.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
continued ^vbd+++xvbn+=continued
to ^to++++=to
participate ^vbi++++=participate
in ^in++++=in
standard ^nn++++=standard
reading ^vbg+++xvbg+=reading
activities ^nns++++=activities
without ^in++++=without
the ^ati++++=the
introduction ^nn++++=introduction
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers.
. ^zz++++=EXTRAWORD
