Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
observation ^nn++++=observation
and ^cc++++=and
comparison ^nn++++=comparison
of ^in++++=of
the ^ati++++=the
low ^jj+atrb+++=low
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
scores ^nns++++=scores
4.05 ^cd++++=4.05
for ^in++++=for
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
and ^cc++++=and
4.14 ^cd++++=4.14
out ^rp+pl+++=out
of ^in++++=of
10 ^cd++++=10
for ^in++++=for
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
inferred ^vpsv++agls+xvbnx+=inferred
that ^dt+pdem+++=that
students ^vbz++++=students
exhibit ^vb++++=exhibit
low ^jj+atrb+++=low
motivation ^nn++++=motivation
when ^wrb+who+++=when
reading ^nvbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
effective ^jj+atrb+++=effective
strategies ^nns+++??+=strategies
for ^in++++=for
text ^nn++++=text
comprehension ^nn++++=comprehension.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
informed ^vbd+vpub++xvbn+=informed
the ^ati++++=the
decision ^nn++++=decision
to ^to+ncmp+++=to
implement ^vbi++++=implement
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
as ^in++++=as
an ^at++++=an
intervention ^nn++++=intervention
aimed ^vpsv++agls+xvbn+=aimed
at ^rb++++=at
improving ^vbg+++xvbg+=improving
students ^nns++++=students'
' ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
comprehension ^nn++++=comprehension.
. ^zz++++=EXTRAWORD
