Data ^nns++++=Data
extraction ^nn++++=extraction
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
Microsoft ^np+++??+=Microsoft
Excel ^np+++??+=Excel
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
a ^at++++=a
protocol ^nn++++=protocol
developed ^vwbn+++xvbn+=developed
by ^in++++=by
the ^ati++++=the
researchers ^nns+++??+=researchers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
extracted ^jj+atrb++xvbn+=extracted
data ^nns++++=data
included ^vbd+++xvbn+=included
the ^ati++++=the
article ^nn++++=article
title ^nn++++=title,
, ^zz++++=EXTRAWORD
author ^nn++++=author,
, ^zz++++=EXTRAWORD
location ^nn++++=location
and ^cc++++=and
year ^nn++++=year
of ^in++++=of
publication ^nn++++=publication,
, ^zz++++=EXTRAWORD
study ^nn++++=study
objective ^jj++++=objective
and ^cc++++=and
design ^nn++++=design,
, ^zz++++=EXTRAWORD
sample ^nn++++=sample
size ^nn++++=size,
, ^zz++++=EXTRAWORD
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
population ^nn++++=population,
, ^zz++++=EXTRAWORD
diagnosis ^nn++++=diagnosis
or ^cc++++=or
clinical ^jj+atrb+++=clinical
manifestation ^nn++++=manifestation
of ^in++++=of
the ^ati++++=the
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
prevalence ^nn+++??+=prevalence
of ^in++++=of
nutritional ^jj+atrb+++=nutritional
deficiency ^nn++++=deficiency,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clinical ^jj++++=clinical
outcomes ^vbz++++=outcomes
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
the ^ati++++=the
deficiency ^nn++++=deficiency.
. ^zz++++=EXTRAWORD
