Among ^in++++=Among
the ^ati++++=the
countries ^nns++++=countries
analyzed ^nn+++??+=analyzed,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
without ^in++++=without
a ^at++++=a
vaccination ^nn++++=vaccination
program ^jj+++??+=program
exhibited ^jj+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
rates ^nns++++=rates
( ^zz++++=(group
group ^nn++++=EXTRAWORD
1.1 ^cd++++=1.1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
highest ^jjt+atrb+++=highest
lethality ^nn+++??+=lethality
( ^zz++++=(group
group ^nn++++=EXTRAWORD
4.2 ^cd++++=4.2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
countries ^nns++++=countries
with ^in++++=with
established ^jj+atrb++xvbn+=established
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
demonstrated ^vbd+vprv++xvbn+=demonstrated
lower ^jjr+atrb+++=lower
rates ^nns++++=rates
of ^in++++=of
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn++++=lethality.
. ^zz++++=EXTRAWORD
