According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
government ^nn++++=government,
, ^zz++++=EXTRAWORD
patients ^nns++++=patients
with ^in++++=with
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD)
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
a ^at++++=a
special ^jj+atrb+++=special
population ^nn++++=population
at ^in++++=at
higher ^jjr+atrb+++=higher
risk ^nn++++=risk
for ^in++++=for
severe ^jj+atrb+++=severe
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
no ^at++++=no
conclusive ^jj+atrb+++=conclusive
evidence ^nn++++=evidence
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
Ms ^nn++++=MS
or ^cc++++=or
Nmosd ^np+++??+=NMOSD
patients ^nns++++=patients
who ^whp+rel+obj++=who
contract ^nn++++=contract
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
at ^in++++=at
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
developing ^xvbg+++xvbg+=developing
life ^nn++++=life-threatening
- ^zz++++=EXTRAWORD
threatening ^jj+atrb+++=EXTRAWORD
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nn++++=address
this ^dt+dem+++=this
knowledge ^nn++++=knowledge
gap ^nn++++=gap,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Academy ^nn++++=Academy
of ^in++++=of
Neurology ^nn++++=Neurology
is ^vbz+bez+aux++=is
establishing ^vbg+++xvbgx+=establishing
a ^at++++=a
national ^jj+atrb+++=national
database ^nn+++??+=database
to ^in++++=to
monitor ^nn++++=monitor
Ms ^nn++++=MS
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
assess ^vb++++=assess
associated ^xvbn+++xvbn+=associated
risks ^nns++++=risks
within ^in++++=within
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
Italian ^jj+atrb+++=Italian
case ^nn++++=case
series ^nn++++=series
involving ^vwbg+++xvbg+=involving
232 ^cd++++=232
Ms ^nn++++=MS
patients ^nns++++=patients
with ^in++++=with
confirmed ^vbn+vpub++xvbn+=confirmed
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
96 ^cd++++=96%
% ^zz++++=EXTRAWORD
experienced ^vbd+++xvbn+=experienced
mild ^jj+atrb+++=mild
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
five ^cd++++=five
patients ^nns++++=patients
( ^zz++++=(2%)
2 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
died ^vbd+++xvbn+=died.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
four ^cd++++=four
had ^vb+hv+vrb++=had
significant ^jj+atrb+++=significant
comorbidities ^nns+++??+=comorbidities
such ^abl++++=such
as ^ql++++=as
hypertension ^vb+++??+=hypertension,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
cerebrovascular ^nn+++??+=cerebrovascular
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
cardiac ^jj+atrb+++=cardiac
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mean ^jj+atrb+++=mean
age ^nn++++=age
among ^in++++=among
these ^dt+dem+++=these
patients ^nns++++=patients
was ^vbd+bedz+vrb++=was
66.8 ^cd++++=66.8
years ^nns++++=years
( ^zz++++=(range:
range ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
54 ^cd++++=54
82 ^cd++++=82
years ^nns++++=years).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
