Certain ^jj+atrb+++=Certain
acute ^jj+atrb+++=acute
demyelinating ^nn+++??+=demyelinating
events ^nns++++=events
do ^vb+do+aux++=do
not ^xnot++not++=not
meet ^vb++++=meet
the ^ati++++=the
diagnostic ^nn+++??+=diagnostic
criteria ^nns++++=criteria
for ^in++++=for
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD).
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
events ^nns++++=events
include ^vb++++=include
acute ^jj+atrb+++=acute
disseminated ^jj+atrb++xvbn+=disseminated
encephalomyelitis ^nns+++??+=encephalomyelitis
( ^zz++++=(ADEM),
adem ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
idiopathic ^jj+atrb++??+=idiopathic
isolated ^jj+atrb++xvbn+=isolated
optic ^nn+++??+=optic
neuritis ^nns+++??+=neuritis
( ^zz++++=(ON),
on ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
idiopathic ^vb+++??+=idiopathic
isolated ^vbd+++xvbn+=isolated
transverse ^jj+atrb+++=transverse
myelitis ^nns+++??+=myelitis
( ^zz++++=(TM).
tm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Management ^nn++++=Management
of ^in++++=of
these ^dt+dem+++=these
conditions ^nns++++=conditions
should ^md+nec+++=should
involve ^vb++++=involve
intravenous ^jj+atrb+++=intravenous
corticosteroids ^nns+++??+=corticosteroids,
, ^zz++++=EXTRAWORD
intravenous ^jj+atrb+++=intravenous
immunoglobulin ^nn+++??+=immunoglobulin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plasma ^nn++++=plasma
exchange ^nn++++=exchange,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
standard ^jj+atrb+++=standard
practice ^nn++++=practice
outside ^in+cmpx+++=outside
of ^in"++++=of
pandemic ^nn+++??+=pandemic
circumstances ^nns++++=circumstances.
. ^zz++++=EXTRAWORD
Long ^jj++++=Long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
immunotherapy ^nn++++=immunotherapy
is ^vbz+bez+aux++=is
generally ^rb+down+++=generally
not ^xnot++not++=not
indicated ^vpsv++agls+xvbn+=indicated
for ^in++++=for
these ^dt+dem+++=these
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
