Multiple ^jj+atrb+++=Multiple
models ^nns++++=models
of ^in++++=of
confirmatory ^jj+atrb+++=confirmatory
factor ^nn++++=factor
analysis ^nn++++=analysis
( ^zz++++=(CFA)
cfa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
measurement ^nn++++=measurement
invariance ^nn+++??+=invariance
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbnx+=evaluated
across ^in+pl+++=across
groups ^nns++++=groups
defined ^vwbn+++xvbn+=defined
by ^in++++=by
relevant ^jj+atrb+++=relevant
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
including ^in++++=including
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
age ^nn++++=age
group ^nn++++=group,
, ^zz++++=EXTRAWORD
marital ^jj+atrb+++=marital
status ^nn++++=status,
, ^zz++++=EXTRAWORD
possession ^nn++++=possession
of ^in++++=of
a ^at++++=a
medical ^jj+atrb+++=medical
specialty ^nn+++??+=specialty,
, ^zz++++=EXTRAWORD
employment ^nn++++=employment
at ^rb++++=at
another ^dt++++=another
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
individual ^jj+atrb+++=individual
monthly ^jj+atrb+++=monthly
income ^nn++++=income,
, ^zz++++=EXTRAWORD
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=EXTRAWORD
work ^nn++++=work-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
illness ^nn++++=illness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
measurement ^nn++++=measurement
models ^nns++++=models
with ^in++++=with
progressively ^rb++++=progressively
increasing ^jj+atrb++xvbg+=increasing
restrictions ^nns++++=restrictions
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
between ^in++++=between
categories ^nns++++=categories
within ^in++++=within
these ^dt+dem+++=these
groups ^nns++++=groups
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
females ^nns++++=females
versus ^in++++=versus
males ^nns++++=males)
) ^zz++++=EXTRAWORD
( ^zz++++=(28,
28 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
29 ^cd++++=29).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
change ^nn++++=change
in ^in++++=in
comparative ^jj+atrb+++=comparative
fit ^jj+atrb+++=fit
index ^nn++++=index
( ^zz++++=(
Cfi ^np++++=CFI)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
criterion ^nn++++=criterion
for ^in++++=for
comparing ^xvbg+++xvbg+=comparing
models ^nns++++=models
with ^in++++=with
additional ^jj+atrb+++=additional
restrictions ^nns++++=restrictions
to ^in++++=to
those ^dt+dem+++=those
with ^in++++=with
fewer ^ap++++=fewer
restrictions ^nns++++=restrictions.
. ^zz++++=EXTRAWORD
Simulation ^np+++??+=Simulation
studies ^nns++++=studies
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
a ^at++++=a
Cfi ^np+++??+=CFI
of ^in++++=of
less ^ql++++=less
than ^cs+sub+++=than
0.01 ^nn+++??+=0.01
between ^in++++=between
successively ^rb++++=successively
more ^ql++++=more
restricted ^jj+atrb++xvbn+=restricted
models ^nns++++=models
supports ^vbz++++=supports
the ^ati++++=the
