Effective ^jj+atrb+++=Effective
reading ^nvbg+++xvbg+=reading
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
appropriate ^jj+atrb+++=appropriate
reading ^jj+atrb++xvbg+=reading
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
Inadequate ^jj+atrb+++=Inadequate
development ^nn++++=development
of ^in++++=of
these ^dt+dem+++=these
skills ^nns++++=skills
can ^md+pos+++=can
hinder ^vb++++=hinder
readers ^nns++++=readers'
' ^zz++++=EXTRAWORD
ability ^nn++++=ability
to ^to+ncmp+++=to
achieve ^vbi++++=achieve
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
comprehension ^nn++++=comprehension
required ^vbd+++xvbn+=required
for ^in++++=for
problem ^nn++++=problem-solving
- ^zz++++=EXTRAWORD
solving ^jj+atrb++xvbg+=EXTRAWORD
and ^cc+phrs+++=and
academic ^jj+atrb+++=academic
assessments ^nns++++=assessments,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
their ^pp$+pp3+++=their
first ^od++++=first
language ^nn++++=language
and ^cc++++=and
in ^in++++=in
a ^at++++=a
foreign ^jj+atrb+++=foreign
language ^nn++++=language.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
identify ^vbi++++=identify
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
can ^md+pos+++=can
improve ^vb++++=improve
reading ^nvbg+++xvbg+=reading
comprehension ^nn++++=comprehension
among ^in++++=among
English ^jj++++=English
as ^ql++++=as
a ^at++++=a
Foreign ^jj+atrb+++=Foreign
Language ^nn++++=Language
( ^zz++++=(EFL)
efl ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
learners ^nns++++=learners.
. ^zz++++=EXTRAWORD
One ^pn++++=One
such ^abl++++=such
strategy ^nn++++=strategy
is ^vbz+bez+vrb++=is
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
on ^in++++=on
the ^ati++++=the
reading ^jj+atrb++xvbg+=reading
comprehension ^nn++++=comprehension
of ^in++++=of
students ^nns++++=students
at ^in++++=at
Unidad ^np+++??+=Unidad
Educativa ^np+++??+=Educativa
Joaquin ^np+++??+=Joaquin
Lalama ^np+++??+=Lalama
in ^in++++=in
Ambato ^np+++??+=Ambato,
, ^zz++++=EXTRAWORD
Ecuador ^np+++??+=Ecuador.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sample ^nn++++=sample
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
40 ^cd++++=40
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
and ^cc++++=and
35 ^cd++++=35
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
observation ^nn++++=observation
and ^cc++++=and
by ^in++++=by
comparing ^xvbg+++xvbg+=comparing
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
a ^at++++=a
reading ^jj+atrb++xvbg+=reading
comprehension ^nn++++=comprehension
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
and ^cc++++=and
post ^nn++++=post-test.
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective
in ^in++++=in
enhancing ^vbg+++xvbg+=enhancing
reading ^nn++++=reading
comprehension ^nn++++=comprehension
among ^in++++=among
the ^ati++++=the
participants ^nns++++=participants.
. ^zz++++=EXTRAWORD
