Several ^ap++++=Several
cellular ^jj+atrb+++=cellular
targets ^nns++++=targets
of ^in++++=of
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
N ^zz++++=N
protein ^nn++++=protein
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Cui ^np+++??+=Cui
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
demonstrated ^vprf+++xvbn+=demonstrated
that ^tht+vcmp+++=that
the ^ati++++=the
N ^zz++++=N
protein ^nn++++=protein
functions ^nns++++=functions
as ^in++++=as
a ^at++++=a
viral ^nn+++??+=viral
suppressor ^nn+++??+=suppressor
of ^in++++=of
Rna ^np+++??+=RNA
silencing ^nn++++=silencing
( ^zz++++=(VSR),
vsr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
ectopic ^vb+++??+=ectopic
expression ^nn++++=expression
of ^in++++=of
the ^ati++++=the
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
N ^zz++++=N
protein ^nn++++=protein
enhanced ^vwbn+++xvbn+=enhanced
Mhv ^np+++??+=MHV-A59
- ^zz++++=EXTRAWORD
a59 ^nn+++??+=EXTRAWORD
coronavirus ^nns+++??+=coronavirus
replication ^nn+++??+=replication
in ^in++++=in
Rna ^np+++??+=RNA
interference ^nn++++=interference
( ^zz++++=(RNAi)-competent
rnai) ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
competent ^jj+atrb+++=EXTRAWORD
cells ^nns++++=cells
but ^cc++++=but
not ^xnot++not++=not
in ^in++++=in
Rnai ^np+++??+=RNAi-deficient
- ^zz++++=EXTRAWORD
deficient ^jj+atrb+++=EXTRAWORD
cells ^nns++++=cells.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
proteomic ^nn+++??+=proteomic
analyses ^nns++++=analyses
have ^vb+hv+aux++=have
revealed ^vprf+++xvbnx+=revealed
that ^tht+vcmp+++=that
the ^ati++++=the
N ^zz++++=N
protein ^nn++++=protein
interacts ^nns+++??+=interacts
with ^in++++=with
various ^jj+atrb+++=various
cellular ^jj+atrb+++=cellular
components ^nns++++=components,
, ^zz++++=EXTRAWORD
including ^in++++=including
ribosomal ^nn+++??+=ribosomal
proteins ^nns+++??+=proteins,
, ^zz++++=EXTRAWORD
translation ^nn++++=translation
initiation ^nn++++=initiation
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
nucleolar ^nn+++??+=nucleolar
proteins ^nns+++??+=proteins,
, ^zz++++=EXTRAWORD
helicases ^nns+++??+=helicases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heterogeneous ^jj+atrb+++=heterogeneous
nuclear ^jj+atrb+++=nuclear
ribonucleoproteins ^nns+++??+=ribonucleoproteins
( ^zz++++=(hnRNPs)
hnrnps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Emmott
emmott ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
interactions ^nns++++=interactions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
with ^in++++=with
Nono ^np+++??+=NONO
and ^cc++++=and
poly(a) ^nn+++??+=poly(A)-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
protein ^nn++++=protein
( ^zz++++=(PABP),
pabp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
mediated ^nn+++??+=mediated
by ^in++++=by
Rna ^np+++??+=RNA,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
interactions ^nns++++=interactions
with ^in++++=with
caprin ^nn+++??+=caprin-1,
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
G3bp ^np+++??+=G3BP-1,
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
G3bp ^np+++??+=G3BP-2,
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
cytoplasmic ^nn+++??+=cytoplasmic
stress ^vb+vpub+++=stress
granule ^nn+++??+=granule
formation ^nn++++=formation,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
localization ^nn++++=localization
of ^in++++=of
N ^zz++++=N
