A ^at++++=A
random ^rb++++=random
subset ^nn+++??+=subset
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
sample ^nn++++=sample
was ^vbd+bedz+vrb++=was
analyzed ^nn+++??+=analyzed
using ^vwbg+++xvbg+=using
the ^ati++++=the
split ^vbd+++xvbn+=split-half
- ^zz++++=EXTRAWORD
half ^abn++++=EXTRAWORD
method ^nn++++=method
( ^zz++++=(20,
20 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
21 ^cd++++=21).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Polychoric ^np+++??+=Polychoric
correlation ^nn++++=correlation
matrices ^nns++++=matrices
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
( ^zz++++=(22),
22 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weighted ^jj+++xvbn+=weighted
least ^ql++++=least
squares ^nns++++=squares
means ^nn++++=means
and ^cc++++=and
variance ^nn++++=variance
adjusted ^vwbn+++xvbn+=adjusted
( ^zz++++=(WLSMV)
wlsmv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
estimator ^nn+++??+=estimator
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
appropriate ^jj++++=appropriate
for ^in++++=for
ordinal ^jj+atrb+++=ordinal
data ^nns++++=data.
. ^zz++++=EXTRAWORD
To ^to++++=To
determine ^vbi++++=determine
the ^ati++++=the
optimal ^jj+atrb+++=optimal
number ^nn++++=number
of ^in++++=of
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
quartimin ^nn+++??+=quartimin
rotation ^nn++++=rotation,
, ^zz++++=EXTRAWORD
parallel ^nn++++=parallel
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Kaiser ^npt++++=Kaiser
s ^zz++++=s
criterion ^np++++=criterion
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized
( ^zz++++=(24).
24 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Multiple ^jj+atrb+++=Multiple
models ^nns++++=models
were ^vbd+bed+aux++=were
generated ^vpsv++agls+xvbnx+=generated
and ^cc+phrs+++=and
assessed ^vbd+++xvbn+=assessed
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
favorable ^&fw++++=favorable
measurement ^nn++++=measurement
properties ^nns++++=properties,
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
theoretical ^jj+atrb+++=theoretical
frameworks ^nns++++=frameworks
that ^tht+rel+obj++=that
conceptualize ^nn+++??+=conceptualize
job ^nn++++=job
satisfaction ^nn++++=satisfaction
as ^in++++=as
a ^at++++=a
multidimensional ^nn+++??+=multidimensional
construct ^vb++++=construct.
. ^zz++++=EXTRAWORD
Prior ^jj++++=Prior
to ^to++++=to
conducting ^vbi++++=conducting
exploratory ^jj+atrb+++=exploratory
factor ^nn++++=factor
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Kaiser ^npt++++=Kaiser-Meyer-Olkin
- ^zz++++=EXTRAWORD
meyer ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
olkin ^nn+++??+=EXTRAWORD
( ^zz++++=(KMO)
kmo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
statistic ^nn++++=statistic
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
to ^to++++=to
assess ^vbi++++=assess
sampling ^nn++++=sampling
adequacy ^nn++++=adequacy
and ^cc++++=and
ensure ^vb+vprv+++=ensure
sufficient ^jj+atrb+++=sufficient
statistical ^jj+atrb+++=statistical
power ^nn++++=power
for ^in++++=for
the ^ati++++=the
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Kmo ^np+++??+=KMO
values ^nns++++=values
greater ^jjr++++=greater
than ^in++++=than
0.90 ^nn+++??+=0.90
were ^vbd+bed+aux++=were
considered ^vbd+vprv++xvbn+=considered
indicative ^jj++++=indicative
of ^in++++=of
adequate ^jj+atrb+++=adequate
sample ^nn++++=sample
adequacy ^nn++++=adequacy
( ^zz++++=(22).
22 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
