To ^in++++=To
analyze ^nn+++??+=analyze
the ^ati++++=the
behavioral ^jj+atrb+++=behavioral
details ^nns++++=details
in ^in++++=in
Arenas ^np+++??+=Arenas
1 ^zz++++=1
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
both ^abx++++=both
frontal ^jj+atrb+++=frontal
and ^cc+phrs+++=and
top ^jjb+atrb+++=top
views ^nns++++=views
of ^in++++=of
the ^ati++++=the
experimental ^jj+atrb+++=experimental
arenas ^nns+++??+=arenas
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
full ^jj++++=full-screen
- ^zz++++=EXTRAWORD
screen ^nn++++=EXTRAWORD
mode ^nn++++=mode
using ^vwbg+++xvbg+=using
a ^at++++=a
Cmos ^np+++??+=CMOS
video ^nn+++??+=video
camera ^nn++++=camera
( ^zz++++=(EOS
eos ^nns+++??+=EXTRAWORD
Rebel ^nn++++=Rebel
T7i ^np+++??+=T7i,
, ^zz++++=EXTRAWORD
Canon ^npt++++=Canon)
) ^zz++++=EXTRAWORD
equipped ^vbd+++xvbn+=equipped
with ^in++++=with
a ^at++++=a
zoom ^nn+++??+=zoom
lens ^nn++++=lens
( ^zz++++=(EF-S
ef ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
15 ^cd++++=15
55 ^cd++++=55
mm ^nnu++++=mm
f ^zz++++=f,
, ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=IS,
, ^zz++++=EXTRAWORD
Canon ^npt++++=Canon)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
macro ^nn+++??+=macro
lens ^nn++++=lens
( ^zz++++=(close-up
close ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
+ ^zz++++=+10,
10 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
58 ^cd++++=58
mm ^nnu++++=mm,
, ^zz++++=EXTRAWORD
Commander ^npt++++=Commander),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
a ^at++++=a
diagonal ^jj+atrb+++=diagonal
field ^nn++++=field
of ^in++++=of
view ^nn++++=view
of ^in++++=of
40 ^cd++++=40
mm ^nnu++++=mm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
camera ^nn++++=camera
was ^vbd+bedz+aux++=was
mounted ^vpsv++agls+xvbnx+=mounted
on ^in++++=on
a ^at++++=a
pivoting ^nn+++??+=pivoting
base ^nn++++=base
to ^to++++=to
enable ^vbi++++=enable
complete ^jj+atrb+++=complete
visual ^jj+atrb+++=visual
coverage ^nn++++=coverage
of ^in++++=of
each ^dt++++=each
arena ^nn++++=arena.
. ^zz++++=EXTRAWORD
All ^abn++++=All
experiments ^nns++++=experiments
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
a ^at++++=a
darkened ^jj+atrb++xvbn+=darkened
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Illumination ^nn++++=Illumination
for ^in++++=for
Arenas ^np+++??+=Arenas
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2
was ^vbd+bedz+aux++=was
provided ^vpsv++by+xvbnx+=provided
by ^in++++=by
a ^at++++=a
Led ^jj+atrb++xvbn+=LED
lamp ^nn++++=lamp
( ^zz++++=(2850K,
2850k ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
570 ^cd++++=570
lumens ^nns+++??+=lumens,
, ^zz++++=EXTRAWORD
Reveal ^vb+vprv+++=Reveal,
, ^zz++++=EXTRAWORD
General ^jj++++=General
Electric ^jj++++=Electric),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
