Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
151 ^cd++++=151
survey ^nn++++=survey
participants ^nns++++=participants
who ^whp+rel+subj++=who
completed ^vbd+++xvbn+=completed
the ^ati++++=the
first ^od++++=first
main ^jjb+atrb+++=main
page ^nn++++=page
of ^in++++=of
the ^ati++++=the
questionnaire ^nn++++=questionnaire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn++++=majority
were ^vbd+bed+vrb++=were
aged ^jj+pred+++=aged
35 ^cd++++=35
44 ^cd++++=44
years ^nns++++=years
( ^zz++++=(38%)
38 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
male ^jj++++=male
( ^zz++++=(55%).
55% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
participants ^nns++++=participants
were ^vbd+bed+vrb++=were
from ^in++++=from
Brazil ^np++++=Brazil
( ^zz++++=(97%),
97% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
highest ^jjt+atrb+++=highest
educational ^jj+atrb+++=educational
attainment ^nn++++=attainment
for ^in++++=for
most ^ql+emph+++=most
was ^vbd+bedz+vrb++=was
an ^at++++=an
undergraduate ^nn++++=undergraduate
or ^cc++++=or
medical ^jj+atrb+++=medical
degree ^nn++++=degree
( ^zz++++=(40%).
40% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
participants ^nns++++=participants
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
at ^in++++=at
least ^ql++++=least
one ^cd1++++=one
stakeholder ^nn+++??+=stakeholder
group ^nn++++=group:
: ^zz++++=EXTRAWORD
57 ^cd++++=57%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
Sbmfc ^np+++??+=SBMFC
members ^nns++++=members,
, ^zz++++=EXTRAWORD
54 ^cd++++=54%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
readers ^nns++++=readers,
, ^zz++++=EXTRAWORD
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
reviewers ^nns++++=reviewers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn++++=majority
reported ^vbd+vpub++xvbn+=reported
no ^at++++=no
experience ^nn++++=experience
with ^in++++=with
open ^jj+atrb+++=open
identity ^nn++++=identity
( ^zz++++=(83%),
83% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
reports ^nns++++=reports
( ^zz++++=(81%),
81% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
open ^jj+atrb+++=open
participation ^nn++++=participation
( ^zz++++=(90%)
90 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
roles ^nns++++=roles
as ^ql++++=as
authors ^nns++++=authors
or ^cc++++=or
reviewers ^nns++++=reviewers,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
60 ^cd++++=60
participants ^nns++++=participants
( ^zz++++=(39%)
39 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicated ^vbd+vprv++xvbn+=indicated
experience ^nn++++=experience
with ^in++++=with
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
in ^in++++=in
general ^jj++++=general
as ^ql++++=as
both ^abx++++=both
authors ^nns++++=authors
and ^cc++++=and
reviewers ^nns++++=reviewers.
. ^zz++++=EXTRAWORD
Approximately ^rb+down+++=Approximately
two ^cd++++=two-thirds
- ^zz++++=EXTRAWORD
thirds ^nns+++??+=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
expressed ^vbd+++xvbn+=expressed
satisfaction ^nn++++=satisfaction
with ^in++++=with
the ^ati++++=the
peer ^nn++++=peer
review ^nn++++=review
process ^nn++++=process
in ^in++++=in
rbmfc ^np++++=RBMFC.
. ^zz++++=EXTRAWORD
