Aim ^nn++++=Aim:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
describe ^vbi++++=describe
the ^ati++++=the
approaches ^nns++++=approaches
to ^in++++=to
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
dental ^jj+atrb+++=dental
education ^nn++++=education
implemented ^vwbn+++xvbn+=implemented
by ^in++++=by
three ^cd++++=three
dental ^jj+atrb+++=dental
schools ^nns++++=schools
during ^in++++=during
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
