Rehva ^np+++??+=REHVA
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
flushing ^vbg+++xvbg+=flushing
toilets ^nns+++??+=toilets
with ^in++++=with
open ^jj+atrb+++=open
lids ^nns++++=lids
generates ^nns++++=generates
plumes ^nns+++??+=plumes
containing ^vwbg+++xvbg+=containing
droplets ^nns++++=droplets
and ^cc++++=and
droplet ^nn+++??+=droplet
residues ^nns++++=residues.
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
scientific ^jj+atrb+++=scientific
studies ^nns++++=studies
and ^cc++++=and
reports ^nns++++=reports
from ^in++++=from
Chinese ^jj+atrb+++=Chinese
authorities ^nns++++=authorities
have ^vb+hv+aux++=have
detected ^vprf+++xvbnx+=detected
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
in ^in++++=in
stool ^nn++++=stool
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
exhaust ^nn++++=exhaust
ventilation ^nn++++=ventilation
systems ^nns++++=systems
in ^in++++=in
toilets ^nns+++??+=toilets
should ^md+nec+++=should
be ^vb+be+aux++=be
operated ^vpsv++agls+xvbnx+=operated
continuously ^rb++++=continuously
to ^to++++=to
maintain ^vbi+vpub+++=maintain
negative ^jj+atrb+++=negative
pressure ^nn++++=pressure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
important ^jj+pred+++=important
for ^in++++=for
reducing ^xvbg+++xvbg+=reducing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
fecal ^nn+++??+=fecal-oral
- ^zz++++=EXTRAWORD
oral ^jj+atrb+++=EXTRAWORD
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
figure ^nn++++=Figure
x ^zz++++=X.
. ^zz++++=EXTRAWORD
