Laboratory ^nn++++=Laboratory
abnormalities ^nns++++=abnormalities
such ^abl++++=such
as ^ql++++=as
lymphopenia ^vb+++??+=lymphopenia,
, ^zz++++=EXTRAWORD
neutrophilia ^nn+++??+=neutrophilia,
, ^zz++++=EXTRAWORD
prolonged ^jj+atrb++xvbn+=prolonged
prothrombin ^nn+++??+=prothrombin
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elevated ^vbd+++xvbn+=elevated
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
levels ^nns++++=levels
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
an ^at++++=an
unfavorable ^nn+++??+=unfavorable
disease ^nn++++=disease
course ^nn++++=course.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
study ^nn++++=study
by ^in++++=by
Zhou ^np+++??+=Zhou
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
involving ^vbg+++xvbg+=involving
191 ^cd++++=191
patients ^nns++++=patients
from ^in++++=from
Jinyintan ^np+++??+=Jinyintan
Hospital ^nn++++=Hospital
and ^cc++++=and
Wuhan ^np+++??+=Wuhan
Pulmonary ^np+++??+=Pulmonary
Hospital ^nn++++=Hospital,
, ^zz++++=EXTRAWORD
advanced ^jj+atrb++xvbn+=advanced
age ^nn++++=age,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
Sofa ^nn++++=SOFA
scores ^nns++++=scores,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
levels ^nns++++=levels
greater ^jjr++++=greater
than ^in++++=than
1 ^zz++++=1
g ^zz++++=g/mL
at ^rb++++=at
admission ^nn++++=admission
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
mortality ^nn++++=mortality
risk ^nn++++=risk;
; ^zz++++=EXTRAWORD
additionally ^nn+++??+=additionally,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
hospitalized ^nn+++??+=hospitalized
patients ^nns++++=patients
with ^in++++=with
pneumonia ^nn++++=pneumonia
exhibited ^vbd+++xvbn+=exhibited
hypercoagulability ^nn+++??+=hypercoagulability.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
study ^vb++++=study
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
the ^ati++++=the
systemic ^nn+++??+=systemic
changes ^nns++++=changes
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
these ^dt+dem+++=these
patients ^nns++++=patients
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
several ^ap++++=several
mechanisms ^nns++++=mechanisms:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
pro ^nn++++=pro-inflammatory
- ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=EXTRAWORD
cytokines ^nns+++??+=cytokines,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
act ^nn++++=act
as ^ql++++=as
mediators ^vbz+++??+=mediators
of ^in++++=of
atherosclerosis ^nns+++??+=atherosclerosis
and ^cc++++=and
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
atherosclerotic ^jj+atrb++??+=atherosclerotic
plaque ^nn++++=plaque
rupture ^nn++++=rupture
through ^in++++=through
local ^jj+atrb+++=local
inflammation ^nn+++??+=inflammation,
, ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
induction ^nn++++=induction
of ^in++++=of
pro ^nn++++=pro-coagulant
- ^zz++++=EXTRAWORD
coagulant ^nn+++??+=EXTRAWORD
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
hemodynamic ^nn+++??+=hemodynamic
alterations ^nns++++=alterations
that ^tht+rel+obj++=that
increase ^nn++++=increase
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
ischemia ^nn++++=ischemia
and ^cc++++=and
thrombosis ^nn++++=thrombosis.
. ^zz++++=EXTRAWORD
