Methodology ^np+++??+=Methodology:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
time ^nn++++=time
series ^nn++++=series
analysis ^nn++++=analysis
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
data ^nns++++=data,
, ^zz++++=EXTRAWORD
referencing ^nn+++??+=referencing
each ^dt++++=each
case ^nn++++=case
to ^in++++=to
the ^ati++++=the
actual ^jj+atrb+++=actual
date ^nn++++=date
of ^in++++=of
death ^nn++++=death
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
date ^nn++++=date
on ^in++++=on
which ^whp+rel+pied++=which
test ^nn++++=test
results ^nns++++=results
were ^vbd+bed+aux++=were
received ^vbd+++xvbn+=received.
. ^zz++++=EXTRAWORD
