Recognizing ^vbg+++xvbg+=Recognizing
endemic ^jj+atrb+++=endemic
nutritional ^jj+atrb+++=nutritional
deficiencies ^nns++++=deficiencies
in ^in++++=in
communities ^nns++++=communities
affected ^vwbn+++xvbn+=affected
by ^in++++=by
the ^ati++++=the
2019 ^cd++++=2019-nCoV
- ^zz++++=EXTRAWORD
ncov ^nn+++??+=EXTRAWORD
pandemic ^nn+++??+=pandemic
is ^vbz+bez+vrb++=is
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
awareness ^nn++++=awareness
enables ^vbz++++=enables
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
targeted ^nn+++??+=targeted
interventions ^nns++++=interventions
to ^in++++=to
address ^nn++++=address
deficits ^nns++++=deficits
in ^in++++=in
serum ^nn++++=serum
vitamins ^nns++++=vitamins
and ^cc++++=and
minerals ^nns++++=minerals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
in ^in++++=in
turn ^nn++++=turn
influence ^nn++++=influence
the ^ati++++=the
prognosis ^nn++++=prognosis
of ^in++++=of
infectious ^nns++++=infectious
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
