More ^rbr++++=More
than ^in++++=than
three ^cd++++=three-quarters
- ^zz++++=EXTRAWORD
quarters ^nns++++=EXTRAWORD
of ^in++++=of
university ^nn++++=university
students ^nns++++=students
possess ^vb++++=possess
books ^nns++++=books
in ^in++++=in
digital ^jj+atrb+++=digital
format ^nn++++=format
( ^zz++++=(75.6%),
75.6% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
slightly ^rb+down+++=slightly
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one-quarter
- ^zz++++=EXTRAWORD
quarter ^nn++++=EXTRAWORD
( ^zz++++=(27.2%)
27.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
own ^ap++++=own
digital ^jj+atrb+++=digital
encyclopedias ^nns++++=encyclopedias.
. ^zz++++=EXTRAWORD
