To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
two ^cd++++=two
relevant ^jj+atrb+++=relevant
studies ^nns++++=studies
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Latin ^jj++++=Latin
American ^jj++++=American
Survey ^vb++++=Survey
of ^in++++=of
Cultural ^jj+atrb+++=Cultural
Habits ^nns++++=Habits
and ^cc++++=and
Practices ^nns++++=Practices
2013 ^cd++++=2013,
, ^zz++++=EXTRAWORD
prepared ^xvbn+++xvbn+=prepared
by ^in++++=by
the ^ati++++=the
Organization ^nn++++=Organization
of ^in++++=of
Ibero ^np+++??+=Ibero-American
- ^zz++++=EXTRAWORD
american ^jj+atrb+++=EXTRAWORD
States ^nns++++=States
in ^in++++=in
collaboration ^nn++++=collaboration
with ^in++++=with
the ^ati++++=the
Ibero ^np+++??+=Ibero-American
- ^zz++++=EXTRAWORD
american ^jj+atrb+++=EXTRAWORD
Observatory ^np+++??+=Observatory
of ^in++++=of
Culture ^nn++++=Culture
( ^zz++++=(OIBC)
oibc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Latino ^np+++??+=Latino
Bar ^nn++++=Bar
metro ^np++++=metro,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
includes ^vb++++=includes
data ^nns++++=data
from ^in++++=from
Ecuador ^np+++??+=Ecuador;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
2014 ^cd++++=2014
analysis ^nn++++=analysis
of ^in++++=of
cultural ^jj+atrb+++=cultural
habits ^nns++++=habits
and ^cc++++=and
practices ^nns++++=practices
in ^in++++=in
the ^ati++++=the
Machala ^np+++??+=Machala
Canton ^np++++=canton,
 ^zz++++=EXTRAWORD
The ^ati++++=the
Capital ^nn++++=capital
Of ^in++++=of
El ^np++++=El
Oro ^np++++=Oro
Province ^nn++++=province.
 ^zz++++=EXTRAWORD
