Following ^jj+++xvbg+=Following
its ^pp$+it+++=its
binding ^nn++++=binding
to ^in++++=to
the ^ati++++=the
3 ^zz++++=3
anti ^nn+++??+=anti-leader
- ^zz++++=EXTRAWORD
leader ^nn++++=EXTRAWORD
sequence ^nn++++=sequence
of ^in++++=of
the ^ati++++=the
viral ^nn+++??+=viral
genome ^nn+++??+=genome,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Rna ^np+++??+=RNA
transcription ^nn+++??+=transcription
complex ^jj++++=complex
( ^zz++++=(RTC)
rtc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
initiates ^nns+++??+=initiates
the ^ati++++=the
synthesis ^nn++++=synthesis
of ^in++++=of
negative ^jj++++=negative-sense
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
Rna ^np+++??+=RNA
along ^in++++=along
the ^ati++++=the
entire ^jjb++++=entire
length ^rb++++=length
of ^in++++=of
the ^ati++++=the
molecule ^nn+++??+=molecule
until ^cs+sub+++=until
it ^pp3+it+++=it
reaches ^vbz++++=reaches
the ^ati++++=the
leader ^nn++++=leader
region ^nn++++=region
at ^in++++=at
the ^ati++++=the
5 ^zz++++=5
end ^nn++++=end,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
a ^at++++=a
full ^jj++++=full-length
- ^zz++++=EXTRAWORD
length ^rb++++=EXTRAWORD
negative ^jj++++=negative-sense
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
copy ^nn++++=copy
of ^in++++=of
the ^ati++++=the
genome ^nn+++??+=genome,
, ^zz++++=EXTRAWORD
referred ^j+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
antigenome ^nn+++??+=antigenome.
. ^zz++++=EXTRAWORD
The ^ati++++=The
antigenome ^nn+++??+=antigenome
subsequently ^rb+tm+++=subsequently
functions ^nns++++=functions
as ^in++++=as
a ^at++++=a
template ^nn++++=template
for ^in++++=for
the ^ati++++=the
synthesis ^nn++++=synthesis
of ^in++++=of
the ^ati++++=the
positive ^jj++++=positive-sense
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
genomic ^nn+++??+=genomic
Rna ^np+++??+=RNA
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
processes ^nns++++=processes
1a ^cd++++=1a
and ^cc++++=and
1b ^cd++++=1b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
