At ^rb++++=At
the ^ati++++=the
municipal ^jj+atrb+++=municipal
level ^nn++++=level
across ^in+pl+++=across
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
positive ^jj+atrb+++=positive
correlation ^nn++++=correlation
between ^in++++=between
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
and ^cc++++=and
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
between ^in++++=between
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
and ^cc++++=and
incidence ^nn++++=incidence.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rates ^nns++++=rates
of ^in++++=of
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
testing ^vwbg+++xvbg+=testing
and ^cc++++=and
mortality ^nn++++=mortality
were ^vbd+bed+aux++=were
positively ^rb++splt++=positively
correlated ^vpsv++agls+xvbnx+=correlated
and ^cc++++=and
were ^vbd+bed+aux++=were
more ^rbr++splt++=more
concentrated ^vpsv++agls+xvbnx+=concentrated
in ^in++++=in
three ^cd++++=three
health ^nn++++=health
macro ^nn+++??+=macro-regions:
- ^zz++++=EXTRAWORD
regions ^nns++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Central ^jj+atrb+++=Central,
, ^zz++++=EXTRAWORD
Central ^jj+atrb+++=Central
South ^np+pl+++=South,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Northern ^jj+atrb+++=Northern
Triangle ^nn++++=Triangle.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
a ^at++++=a
significant ^jj+atrb+++=significant
negative ^jj+atrb+++=negative
correlation ^nn++++=correlation
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
time ^nn++++=time
and ^cc++++=and
test ^nn++++=test
rates ^nns++++=rates
at ^in++++=at
both ^abx++++=both
the ^ati++++=the
municipal ^jj+atrb+++=municipal
and ^cc+phrs+++=and
regional ^jj+atrb+++=regional
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
