Chorus ^nn++++=Chorus
and ^cc++++=and
Waltman ^np+++??+=Waltman
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
detailed ^jj+atrb+++=detailed
analysis ^nn++++=analysis
of ^in++++=of
journal ^nn++++=journal
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
and ^cc++++=and
introduced ^vbd+++xvbn+=introduced
a ^at++++=a
metric ^nn+++??+=metric
to ^in++++=to
assess ^vbi++++=assess
increases ^nns++++=increases
in ^in++++=in
the ^ati++++=the
Journal ^nn++++=Journal
Impact ^nn++++=Impact
Factor ^nn++++=Factor
( ^zz++++=(JIF)
jif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
attributable ^jj++++=attributable
to ^in++++=to
self ^nn++++=self-citation,
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
identifying ^xvbg+++xvbg+=identifying
disproportionate ^jj++++=disproportionate
and ^cc++++=and
potentially ^rb++++=potentially
unethical ^jj+atrb+++=unethical
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
acknowledged ^vbd+vpub++xvbnx+=acknowledged
the ^ati++++=the
limitations ^nns++++=limitations
of ^in++++=of
their ^pp$+pp3+++=their
metric ^nn+++??+=metric
and ^cc++++=and
discussed ^vbd+++xvbn+=discussed
circumstances ^nns++++=circumstances
in ^in++++=in
which ^whp+rel+pied++=which
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
justified ^vpsv++agls+xvbnx+=justified.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
circumstances ^nns++++=circumstances
include ^vb++++=include
situations ^nns++++=situations
where ^wrb+who+++=where
a ^at++++=a
researcher ^nn++++=researcher
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
recent ^jj+atrb+++=recent
studies ^nns++++=studies
published ^vbd+++xvbn+=published
in ^in++++=in
a ^at++++=a
particular ^jj+atrb+++=particular
journal ^nn++++=journal
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
conducts ^vbz++++=conducts
similar ^jj+atrb+++=similar
research ^nn++++=research,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
that ^dt+dem+++=that
journal ^nn++++=journal
a ^at++++=a
logical ^jj+atrb+++=logical
venue ^nn++++=venue
for ^in++++=for
submission ^nn++++=submission.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
an ^at++++=an
author ^nn++++=author
completes ^vbz++++=completes
a ^at++++=a
manuscript ^nn++++=manuscript
and ^cc++++=and
finds ^vbz+vprv+++=finds
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
relevant ^jj+atrb+++=relevant
references ^nns++++=references
are ^vb+ber+vrb++=are
from ^in++++=from
a ^at++++=a
specific ^jj+atrb+++=specific
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
submitting ^vbg+++xvbg+=submitting
to ^in++++=to
that ^dt+dem+++=that
journal ^nn++++=journal
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
scenarios ^nns+++??+=scenarios
are ^vb+ber+vrb++=are
likely ^jj++++=likely
relevant ^jj++++=relevant
to ^in++++=to
the ^ati++++=the
Zootaxa ^np+++??+=Zootaxa
mega ^nn+++??+=mega-journal
- ^zz++++=EXTRAWORD
journal ^nn++++=EXTRAWORD
phenomenon ^nn++++=phenomenon
and ^cc++++=and
may ^md+pos+++=may
partially ^rb+down+++=partially
account ^nn++++=account
for ^in++++=for
its ^pp$+it+++=its
elevated ^jj+atrb+++=elevated
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn++++=EXTRAWORD
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
