A ^at++++=A
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
websites ^nns+++??+=websites
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
education ^nn++++=education
departments ^nns++++=departments
revealed ^vbd+vprv++xvbn+=revealed
limited ^vbd+++xvbn+=limited
information ^nn++++=information
regarding ^in++++=regarding
this ^dt+dem+++=this
process ^nn++++=process,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
who ^whp+rel+obj++=who
benefit ^nn++++=benefit
from ^in++++=from
this ^dt+dem+++=this
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
scarcity ^nn++++=scarcity
of ^in++++=of
publicly ^rb++++=publicly
available ^jj+atrb+++=available
information ^nn++++=information
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
that ^tht+rel+subj++=that
motivated ^vpsv++agls+xvbn+=motivated
the ^ati++++=the
present ^jj+atrb+++=present
research ^nn++++=research.
. ^zz++++=EXTRAWORD
