At ^rb++++=At
each ^dt++++=each
sampling ^nn++++=sampling
site ^nn++++=site,
, ^zz++++=EXTRAWORD
water ^nn++++=water
temperature ^nn++++=temperature
( ^zz++++=(
C ^zz++++=C),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ph ^nn++++=pH,
, ^zz++++=EXTRAWORD
conductivity ^nn++++=conductivity
( ^zz++++=(
S ^zz++++=S
cm ^nnu++++=cm
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dissolved ^jj+atrb++xvbn+=dissolved
oxygen ^nn++++=oxygen
concentration ^nn++++=concentration
( ^zz++++=(mg
mg ^nnu++++=EXTRAWORD
O ^zz++++=O
Were ^vbd+bed+aux++=were
Measured ^vpsv++agls+xvbn+=measured
Using ^vbg+++xvbg+=using
Horiba ^np++++=Horiba
U10 ^np++++=U10
And ^cc++++=and
U50 ^np++++=U50
Instruments ^nns++++=instruments.
 ^zz++++=EXTRAWORD
