According ^in+cmpx+++=According
to ^in++++=to
Tinbergen ^np+++??+=Tinbergen
( ^zz++++=(1963),
1963 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ethologists ^nns+++??+=ethologists
aim ^vb++++=aim
to ^to+vcmp+++=to
identify ^vbi++++=identify
specific ^jj+atrb+++=specific
elements ^nns++++=elements
of ^in++++=of
an ^at++++=an
animal ^nn++++=animal
s ^zz++++=s
behavior ^nn++++=behavior;
; ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
kleptophagy ^nn+++??+=kleptophagy
is ^vbz+bez+vrb++=is
a ^at++++=a
characteristic ^jj+atrb+++=characteristic
behavior ^nn++++=behavior
( ^zz++++=(sensu
sensu ^nn+++??+=EXTRAWORD
Portmann ^np+++??+=Portmann
1967 ^cd+date+++=1967;
; ^zz++++=EXTRAWORD
Kleisner ^np+++??+=Kleisner
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Aldana ^np+++??+=Aldana
and ^cc++++=and
Ot ^np+++??+=Ot
lora ^nn+++??+=lora-Luna
- ^zz++++=EXTRAWORD
luna ^np++++=EXTRAWORD
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Belminus ^np+++??+=Belminus,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
other ^ap++++=other
triatomines ^nns+++??+=triatomines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observed ^jj+atrb++xvbn+=observed
approach ^nn++++=approach
of ^in++++=of
Belminus ^np+++??+=Belminus
bugs ^nns+++??+=bugs
toward ^in++++=toward
cockroaches ^nn++++=cockroaches
involved ^vbd+++xvbn+=involved
a ^at++++=a
highly ^rb+amp+++=highly
stereotyped ^jj+atrb+++=stereotyped
behavioral ^jj+atrb+++=behavioral
sequence ^nn++++=sequence
culminating ^vwbg+++xvbg+=culminating
in ^in++++=in
proboscis ^nns+++??+=proboscis
lifting ^vwbg+++xvbg+=lifting
and ^cc++++=and
feeding ^vwbg+++xvbg+=feeding,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
result ^nn++++=result
in ^in++++=in
the ^ati++++=the
immediate ^jj+atrb+++=immediate
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
host ^nn++++=host.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
behavioral ^jj+atrb+++=behavioral
pattern ^nn++++=pattern
provides ^vbz+vsua+++=provides
evidence ^nn++++=evidence
for ^in++++=for
the ^ati++++=the
phylogenetic ^jj+atrb+++=phylogenetic
relationships ^nns++++=relationships
within ^in++++=within
the ^ati++++=the
subfamily ^nn++++=subfamily
triatominae ^np++++=Triatominae.
. ^zz++++=EXTRAWORD
