Among ^in++++=Among
these ^dt+dem+++=these
young ^jj+atrb+++=young
people ^nns++++=people,
, ^zz++++=EXTRAWORD
24.9 ^cd++++=24.9%
% ^zz++++=EXTRAWORD
possess ^vb++++=possess
digital ^jj+atrb+++=digital
book ^nn++++=book
readers ^nns++++=readers
and ^cc++++=and
52.7 ^cd++++=52.7%
% ^zz++++=EXTRAWORD
own ^ap++++=own
digital ^jj+atrb+++=digital
music ^nn++++=music
devices ^nns++++=devices.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
specialized ^vprf+++xvbn+=specialized
software ^nn+++??+=software,
, ^zz++++=EXTRAWORD
30.1 ^cd++++=30.1%
% ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^to++++=to
editing ^vbi++++=editing
and ^cc++++=and
video ^nn+++??+=video
programs ^nns+++??+=programs,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
26.5 ^cd++++=26.5%
% ^zz++++=EXTRAWORD
who ^whp+who+++=who
have ^vb+hv+vrb++=have
educational ^jj+atrb+++=educational
programs ^nns+++??+=programs;
; ^zz++++=EXTRAWORD
both ^abx++++=both
types ^nns++++=types
of ^in++++=of
software ^nn+++??+=software
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
in ^in++++=in
similar ^jj+atrb+++=similar
proportions ^nns++++=proportions
across ^in+pl+++=across
genders ^nns+++??+=genders.
. ^zz++++=EXTRAWORD
Game ^nn++++=Game
programs ^nns+++??+=programs
are ^vb+ber+vrb++=are
the ^ati++++=the
third ^od++++=third
most ^ql+emph+++=most
common ^jj++++=common,
, ^zz++++=EXTRAWORD
available ^jj++++=available
to ^to++++=to
22.1 ^cd++++=22.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
higher ^jjr+atrb+++=higher
prevalence ^nn+++??+=prevalence
among ^in++++=among
males ^nns++++=males
( ^zz++++=(23.3%)
23.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vpsv++agls+xvbn+=compared
to ^in++++=to
females ^nns++++=females
( ^zz++++=(13.9%).
13.9% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
