Patients ^nns++++=Patients
scheduled ^vbd+++xvbn+=scheduled
for ^in++++=for
surgery ^nn++++=surgery
were ^vbd+bed+aux++=were
screened ^vpsv++agls+xvbnx+=screened
for ^in++++=for
symptoms ^nns++++=symptoms
indicative ^nn++++=indicative
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
upon ^in++++=upon
admission ^nn++++=admission,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
with ^in++++=with
positive ^jj+atrb+++=positive
findings ^nns++++=findings
were ^vbd+bed+aux++=were
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
emergency ^nn++++=emergency
department ^nn++++=department
for ^in++++=for
further ^jjb+atrb+++=further
evaluation ^nn++++=evaluation.
. ^zz++++=EXTRAWORD
