It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
two ^cd++++=two
years ^nns++++=years
since ^in++++=since
Norena ^np+++??+=Norena
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
published ^vbd+++xvbn+=published
the ^ati++++=the
initial ^jj+atrb+++=initial
analysis ^nn++++=analysis
of ^in++++=of
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
genetic ^jj+atrb+++=genetic
data ^nns++++=data
available ^jj++++=available
in ^in++++=in
public ^jj+atrb+++=public
databases ^nns+++??+=databases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
provided ^vbd+vsua++xvbn+=provided
their ^pp$+pp3+++=their
scripts ^nns++++=scripts
and ^cc++++=and
relevant ^jj+atrb+++=relevant
information ^nn++++=information,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
us ^pp1o+pp1+++=us
to ^to++++=to
reproduce ^vbi++++=reproduce
and ^cc+phrs+++=and
compare ^vb++++=compare
their ^pp$+pp3+++=their
results ^nns++++=results.
. ^zz++++=EXTRAWORD
In ^in++++=In
alignment ^nn++++=alignment
with ^in++++=with
the ^ati++++=the
principles ^nns++++=principles
of ^in++++=of
open ^jj+atrb+++=open
science ^nn++++=science,
, ^zz++++=EXTRAWORD
all ^abn++++=all
scripts ^nns++++=scripts
and ^cc++++=and
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
are ^vb+ber+vrb++=are
freely ^rb++++=freely
accessible ^jj+pred+++=accessible
and ^cc++++=and
downloadable ^nn+++??+=downloadable
from ^in++++=from
Github ^np+++??+=GitHub.
. ^zz++++=EXTRAWORD
Norena ^np+++??+=Norena
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
1.01 ^cd++++=1.01%
% ^zz++++=EXTRAWORD
( ^zz++++=(approximately
approximately ^rb+down+++=EXTRAWORD
6,500 ^cd++++=6,500)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
records ^nns++++=records
in ^in++++=in
Ncbi ^np+++??+=NCBI
Nucleotide ^np+++??+=Nucleotide
were ^vbd+bed+aux++=were
deposited ^vpsv++by+xvbnx+=deposited
by ^in++++=by
Peruvian ^np+++??+=Peruvian
institutions ^nns++++=institutions.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
this ^dt+dem+++=this
number ^nn++++=number
has ^vbz+hvz+vrb++=has
more ^ql++++=more
than ^cs+sub+++=than
doubled ^vbd+++xvbn+=doubled
to ^to++++=to
14,488 ^cd++++=14,488
records ^nns++++=records
within ^in++++=within
two ^cd++++=two
years ^nns++++=years
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
calculated ^jj+atrb++xvbn+=calculated
proportion ^nn++++=proportion
of ^in++++=of
records ^nns++++=records
from ^in++++=from
Peruvian ^np+++??+=Peruvian
institutions ^nns++++=institutions
increased ^vbd+++xvbn+=increased
only ^rb+down+++=only
modestly ^nn+++??+=modestly
to ^to++++=to
1.71 ^cd++++=1.71%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
overall ^jjb+atrb+++=overall
growth ^nn++++=growth
in ^in++++=in
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
Nucleotide ^np+++??+=Nucleotide
records ^nns++++=records.
. ^zz++++=EXTRAWORD
An ^at++++=An
independent ^jj+atrb+++=independent
study ^nn++++=study
by ^in++++=by
Clark ^np++++=Clark
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
twoto ^nn+++??+=twoto
four ^cd++++=four-fold
- ^zz++++=EXTRAWORD
fold ^nn++++=EXTRAWORD
increases ^vbz++++=increases
in ^in++++=in
both ^abx++++=both
invertebrate ^nn+++??+=invertebrate
and ^cc++++=and
vertebrate ^nn+++??+=vertebrate
data ^nns++++=data
in ^in++++=in
Genbank ^np+++??+=GenBank
over ^in++++=over
a ^at++++=a
comparable ^jj+atrb+++=comparable
period ^nn++++=period
( ^zz++++=(2014
2014 ^cd++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
the ^ati++++=the
National ^jj+atrb+++=National
Institute ^nn++++=Institute
of ^in++++=of
Health ^nn++++=Health
( ^zz++++=(INS)
ins ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
National ^jj+atrb+++=National
University ^nn++++=University
of ^in++++=of
San ^np++++=San
Marcos ^np+++??+=Marcos
( ^zz++++=(UNMSM)
unmsm ^nn+++??+=EXTRAWORD
