Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
employed ^vbd+++xvbn+=employed
a ^at++++=a
quantitative ^jj+atrb+++=quantitative
analysis ^nn++++=analysis
of ^in++++=of
secondary ^jj+atrb+++=secondary
data ^nns++++=data
using ^vwbg+++xvbg+=using
a ^at++++=a
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
research ^nn++++=research
design ^nn++++=design.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
on ^in++++=on
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
date ^nn++++=date
of ^in++++=of
first ^od++++=first
notification ^nn++++=notification,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
rapid ^jj++++=rapid
and ^cc++++=and
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Laboratory ^nn++++=Laboratory
Environment ^nn++++=Environment
Manager ^nn++++=Manager,
, ^zz++++=EXTRAWORD
the ^ati++++=the
e ^zz++++=e-SUS
- ^zz++++=EXTRAWORD
sus ^nns+++??+=EXTRAWORD
epidemiological ^nn+++??+=epidemiological
surveillance ^nn++++=surveillance
platform ^nn++++=platform,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ses ^np+++??+=SES-MG.
- ^zz++++=EXTRAWORD
mg ^nnu++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pearson ^np++++=Pearson
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
strength ^nn++++=strength
and ^cc++++=and
direction ^nn++++=direction
of ^in++++=of
associations ^nns++++=associations
between ^in++++=between
the ^ati++++=the
relevant ^jj+atrb+++=relevant
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
Descriptive ^jj+atrb+++=Descriptive
statistical ^jj+atrb+++=statistical
methods ^nns++++=methods
were ^vbd+bed+aux++=were
applied ^vpsv++agls+xvbnx+=applied
to ^to++++=to
summarize ^vbi++++=summarize
and ^cc+phrs+++=and
characterize ^vb++++=characterize
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
testing ^nn++++=testing
rates ^nns++++=rates
within ^in++++=within
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area.
. ^zz++++=EXTRAWORD
