It ^pp3+it+++=It
is ^vbz+bez+aux++=is
anticipated ^vpsv++agls+xvbnx+=anticipated
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn++++=population
will ^md+prd+++=will
be ^vb+be+aux++=be
infected ^vpsv++agls+xvbnx+=infected
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
months ^nns++++=months,
, ^zz++++=EXTRAWORD
with ^in++++=with
most ^ql+emph+++=most
individuals ^nns++++=individuals
remaining ^vwbg+++xvbg+=remaining
asymptomatic ^nn+++??+=asymptomatic
or ^cc++++=or
experiencing ^vbg+++xvbg+=experiencing
only ^rb+down+++=only
mild ^jj+atrb+++=mild
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
identifies ^vbz++++=identifies
the ^ati++++=the
following ^jj+atrb++xvbg+=following
groups ^nns++++=groups
as ^ql++++=as
being ^jj+++xvbg+=being
at ^rb++++=at
high ^jj++++=high
risk ^vb++++=risk
for ^in++++=for
developing ^xvbg+++xvbg+=developing
severe ^jj+atrb+++=severe
Covid ^np+++??+=COVID-19:
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
over ^in++++=over
60 ^cd++++=60
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
with ^in++++=with
severe ^jj++++=severe
cardiac ^jj++++=cardiac
or ^cc++++=or
pulmonary ^nn+++??+=pulmonary
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
with ^in++++=with
kidney ^nn++++=kidney
diseases ^nns++++=diseases
or ^cc++++=or
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
persons ^nns++++=persons
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
immunosuppressed ^nn++++=immunosuppressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pregnant ^jj+atrb+++=pregnant
women ^nns++++=women.
. ^zz++++=EXTRAWORD
