Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
conducting ^vbg+++xvbg+=conducting
studies ^nns++++=studies
of ^in++++=of
temporal ^jj+atrb+++=temporal
trends ^nns++++=trends
is ^vbz+bez+vrb++=is
appropriate ^jj+pred+++=appropriate
for ^in++++=for
analyzing ^nn+++??+=analyzing
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
leptospirosis ^nns+++??+=leptospirosis
incidence ^nn++++=incidence
and ^cc++++=and
rainfall ^nn++++=rainfall
indices ^nns++++=indices
in ^in++++=in
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
State ^nn++++=State
and ^cc++++=and
its ^pp$+it+++=its
Health ^nn++++=Health
Regions ^nns++++=Regions,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
existing ^xvbg+++xvbg+=existing
studies ^nns++++=studies
on ^in++++=on
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
leptospirosis ^nns+++??+=leptospirosis
and ^cc++++=and
rainfall ^nn++++=rainfall
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
potential ^jj+atrb+++=potential
contribution ^nn++++=contribution
of ^in++++=of
epidemiological ^nn+++??+=epidemiological
surveillance ^nn++++=surveillance
to ^in++++=to
risk ^nn++++=risk
assessment ^nn++++=assessment
and ^cc++++=and
management ^nn++++=management.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
enhance ^vb++++=enhance
the ^ati++++=the
capacity ^nn++++=capacity
to ^to+ncmp+++=to
respond ^vbi++++=respond
to ^in++++=to
natural ^jj+atrb+++=natural
disasters ^nns++++=disasters
in ^in++++=in
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
and ^cc++++=and
support ^nn++++=support
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
more ^rbr++++=more
effective ^jj+atrb+++=effective
measures ^nns++++=measures
for ^in++++=for
the ^ati++++=the
prevention ^nn++++=prevention
and ^cc++++=and
control ^nn++++=control
of ^in++++=of
leptospirosis ^nns++++=leptospirosis.
. ^zz++++=EXTRAWORD
