School ^nn++++=School
feeding ^vwbg+++xvbg+=feeding
programs ^nns+++??+=programs
are ^vb+ber+vrb++=are
an ^at++++=an
integral ^jj+atrb+++=integral
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
daily ^jj++++=daily
routine ^jj++++=routine
for ^in++++=for
millions ^cds++++=millions
of ^in++++=of
students ^nns++++=students
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
The ^ati++++=The
closure ^nn++++=closure
of ^in++++=of
schools ^nns++++=schools
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
challenge ^nn++++=challenge
of ^in++++=of
ensuring ^xvbg+++xvbg+=ensuring
continued ^jj+atrb++xvbn+=continued
food ^nn++++=food
provision ^nn++++=provision
to ^in++++=to
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
through ^in++++=through
alternative ^jj+atrb+++=alternative
mechanisms ^nns++++=mechanisms,
, ^zz++++=EXTRAWORD
including ^in++++=including
governmental ^jj++++=governmental
and ^cc++++=and
non ^&fw++++=non-governmental
- ^zz++++=EXTRAWORD
governmental ^jj+atrb+++=EXTRAWORD
food ^nn++++=food
programs ^nns+++??+=programs.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
40.1 ^cd++++=40.1
million ^cd++++=million
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
enrolled ^vbd+++xvbn+=enrolled
in ^in++++=in
basic ^jj+atrb+++=basic
public ^jj+atrb+++=public
education ^nn++++=education
were ^vbd+bed+aux++=were
affected ^vpsv++agls+xvbnx+=affected
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
receive ^vb++++=receive
their ^pp$+pp3+++=their
regular ^jj+atrb+++=regular
school ^nn++++=school
meals ^nns++++=meals
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nn++++=address
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
local ^jj+atrb+++=local
governments ^nns++++=governments
opted ^vbd+++xvbn+=opted
to ^in++++=to
transfer ^nn++++=transfer
financial ^jj+atrb+++=financial
resources ^nns++++=resources
directly ^rb++++=directly
to ^in++++=to
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
assess ^vbi++++=assess
whether ^cs+who+++=whether
children ^nns++++=children
are ^vb+ber+aux++=are
receiving ^vbg+++xvbgx+=receiving
adequate ^jj+atrb+++=adequate
nutrition ^nn++++=nutrition
during ^in++++=during
prolonged ^vbd+++xvbn+=prolonged
school ^npl++++=school
closures ^nns++++=closures.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
presents ^vbz++++=presents
the ^ati++++=the
current ^jj+atrb+++=current
status ^nn++++=status
of ^in++++=of
fund ^nn++++=fund
transfers ^nns++++=transfers
and ^cc++++=and
meal ^nn++++=meal
delivery ^nn++++=delivery
across ^in+pl+++=across
the ^ati++++=the
27 ^cd++++=27
Brazilian ^jj+atrb+++=Brazilian
federative ^nn+++??+=federative
units ^nns++++=units
and ^cc++++=and
proposes ^vbz+vsua+++=proposes
a ^at++++=a
monitoring ^jj+atrb++xvbg+=monitoring
model ^nn++++=model
to ^to++++=to
track ^vbi++++=track
the ^ati++++=the
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
of ^in++++=of
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
ensuring ^vbg+vprv++xvbg+=ensuring
adequate ^jj+atrb+++=adequate
nutrition ^nn++++=nutrition.
. ^zz++++=EXTRAWORD
