Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
infectious ^nns+++??+=infectious
disease ^nn++++=disease
caused ^vwbn+++xvbn+=caused
by ^in++++=by
a ^at++++=a
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus
subtype ^nn+++??+=subtype
( ^zz++++=(SARS-CoV-2)
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
first ^od++++=first
identified ^vbd+++xvbn+=identified
in ^in++++=in
Wuhan ^np+++??+=Wuhan,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
in ^in++++=in
December ^nr++++=December
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
of ^in++++=of
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
preparation ^nn++++=preparation
of ^in++++=of
this ^dt+dem+++=this
manuscript ^nn++++=manuscript,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
two ^cd++++=two
million ^cd++++=million
cases ^nns++++=cases
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
worldwide ^nn+++??+=worldwide,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
world ^nn++++=World
health ^nn++++=Health
organization ^nn++++=Organization.
. ^zz++++=EXTRAWORD
