The ^ati++++=The
disease ^nn++++=disease
exhibits ^nns++++=exhibits
a ^at++++=a
broad ^jj+atrb+++=broad
clinical ^jj+atrb+++=clinical
spectrum ^nn+++??+=spectrum,
, ^zz++++=EXTRAWORD
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
asymptomatic ^nn+++??+=asymptomatic
cases ^nns++++=cases
to ^in++++=to
presentations ^nns++++=presentations
resembling ^vwbg+++xvbg+=resembling
influenza ^nn++++=influenza,
, ^zz++++=EXTRAWORD
characterized ^nn+++??+=characterized
by ^in++++=by
symptoms ^nns++++=symptoms
such ^abl++++=such
as ^ql++++=as
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
myalgia ^nn+++??+=myalgia.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
instances ^nns++++=instances,
, ^zz++++=EXTRAWORD
the ^ati++++=the
condition ^nn++++=condition
may ^md+pos+++=may
progress ^vb++++=progress
to ^in++++=to
severe ^jj+atrb+++=severe
pneumonia ^nn++++=pneumonia
or ^cc++++=or
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
( ^zz++++=(SARS).
sars ^nns++++=EXTRAWORD
). ^nn++++=EXTRAWORD
