During ^in++++=During
pandemics ^nns+++??+=pandemics,
, ^zz++++=EXTRAWORD
children ^nns++++=children's
's ^$++++=EXTRAWORD
nutrition ^nn++++=nutrition
represents ^vbz++++=represents
a ^at++++=a
critical ^jj+atrb+++=critical
issue ^nn++++=issue
for ^in++++=for
society ^nn++++=society,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
because ^cs+cos+++=because
schools ^nns++++=schools
often ^rb++++=often
serve ^vb++++=serve
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
source ^nn++++=source
of ^in++++=of
daily ^jj+atrb+++=daily
nutritional ^jj+atrb+++=nutritional
support ^nn++++=support
for ^in++++=for
many ^ap++++=many
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Monitoring ^nvbg+++xvbg+=Monitoring
whether ^cs+who+++=whether
food ^nn++++=food
or ^cc++++=or
financial ^jj+atrb+++=financial
assistance ^nn++++=assistance
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
governments ^nns++++=governments
actually ^rb+amp+++=actually
reaches ^nns++++=reaches
and ^cc++++=and
is ^vbz+bez+aux++=is
consumed ^vpsv++by+xvbnx+=consumed
by ^in++++=by
the ^ati++++=the
intended ^jj+atrb++xvbn+=intended
child ^nn++++=child
beneficiaries ^nns++++=beneficiaries
presents ^vbz++++=presents
significant ^jj++++=significant
challenges ^vbz++++=challenges.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
such ^abl++++=such
resources ^nns++++=resources
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
to ^in++++=to
families ^nns++++=families
rather ^rb++++=rather
than ^in++++=than
directly ^rb++++=directly
to ^in++++=to
children ^nns++++=children,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
oversight ^nn++++=oversight
regarding ^in++++=regarding
the ^ati++++=the
proper ^jj+atrb+++=proper
allocation ^nn++++=allocation
and ^cc++++=and
use ^nn++++=use
of ^in++++=of
these ^dt+dem+++=these
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
these ^dt+dem+++=these
interventions ^nns++++=interventions
in ^in++++=in
addressing ^vbg+++xvbg+=addressing
nutritional ^jj+atrb+++=nutritional
deficiencies ^nns++++=deficiencies.
. ^zz++++=EXTRAWORD
