Scholarly ^jj+atrb+++=Scholarly
journals ^nns++++=journals
should ^md+nec+++=should
assess ^vb++++=assess
the ^ati++++=the
perspectives ^nns++++=perspectives
of ^in++++=of
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
communities ^nns++++=communities
prior ^jj++++=prior
to ^to++++=to
implementing ^vbi++++=implementing
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
seven ^cd++++=seven
characteristics ^nns++++=characteristics
of ^in++++=of
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
from ^in++++=from
surveys ^nns++++=surveys
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
the ^ati++++=the
Global ^jj+atrb+++=Global
North ^nr+pl+++=North
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
applicable ^jj+pred+++=applicable
to ^in++++=to
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
double ^jj++++=double-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
peer ^nn++++=peer
review ^nn++++=review
remains ^nns++++=remains
prevalent ^jj++++=prevalent,
, ^zz++++=EXTRAWORD
including ^in++++=including
in ^in++++=in
journals ^nns++++=journals
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
natural ^jj+atrb+++=natural
sciences ^nns++++=sciences
and ^cc++++=and
medicine ^nn++++=medicine.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
a ^at++++=a
survey ^nn++++=survey
investigating ^vwbg+++xvbg+=investigating
attitudes ^nns++++=attitudes
toward ^in++++=toward
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
among ^in++++=among
four ^cd++++=four
stakeholder ^nn+++??+=stakeholder
groups ^nns++++=groups
associated ^vbd+++xvbn+=associated
with ^in++++=with
a ^at++++=a
scholarly ^jj++++=scholarly-led
- ^zz++++=EXTRAWORD
led ^vwbn+++xvbn+=EXTRAWORD
medical ^jj+atrb+++=medical
journal ^nn++++=journal
in ^in++++=in
Brazil ^np++++=Brazil:
: ^zz++++=EXTRAWORD
society ^nn++++=society
members ^nns++++=members,
, ^zz++++=EXTRAWORD
journal ^nn++++=journal
readers ^nns++++=readers,
, ^zz++++=EXTRAWORD
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reviewers ^nns++++=reviewers.
. ^zz++++=EXTRAWORD
In ^in++++=In
comparison ^nn++++=comparison
to ^in++++=to
a ^at++++=a
previous ^nn++++=previous
survey ^vb++++=survey
that ^dt+pdem+++=that
primarily ^rb+down+++=primarily
included ^vbd+++xvbn+=included
researchers ^nns+++??+=researchers
in ^in++++=in
the ^ati++++=the
natural ^jj+atrb+++=natural
sciences ^nns++++=sciences
from ^in++++=from
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
survey ^nn++++=survey
identified ^vbd+++xvbn+=identified
comparable ^jj+atrb+++=comparable
levels ^nns++++=levels
of ^in++++=of
support ^nn++++=support
for ^in++++=for
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
overall ^jjb++++=overall
and ^cc++++=and
for ^in++++=for
