According ^in+cmpx+++=According
to ^in++++=to
guidelines ^nns+++??+=guidelines
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Ashrae ^np+++??+=ASHRAE,
, ^zz++++=EXTRAWORD
Rehva ^np+++??+=REHVA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nafa ^np+++??+=NAFA,
, ^zz++++=EXTRAWORD
several ^ap++++=several
strategies ^nns+++??+=strategies
can ^md+pos+++=can
be ^vb+be+aux++=be
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
reduce ^vbi++++=reduce
contamination ^nn++++=contamination
in ^in++++=in
intensive ^jj+atrb+++=intensive
care ^nn++++=care
units ^nns++++=units
( ^zz++++=(ICUs)
icus ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
hospitals ^nns++++=hospitals.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
strategies ^nns+++??+=strategies
are ^vb+ber+aux++=are
illustrated ^vpsv++agls+xvbnx+=illustrated
in ^in++++=in
figure ^nn++++=Figure
3 ^zz++++=3
and ^cc++++=and
are ^vb+ber+aux++=are
described ^vpsv++agls+xvbn+=described
in ^in++++=in
detail ^nn++++=detail
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
