At ^rb++++=At
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
Australia ^np++++=Australia
was ^vbd+bedz+vrb++=was
among ^in++++=among
the ^ati++++=the
first ^od++++=first
countries ^nns++++=countries
to ^to++++=to
implement ^vbi++++=implement
stringent ^jj+atrb+++=stringent
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
including ^in++++=including
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing,
, ^zz++++=EXTRAWORD
travel ^vb++++=travel
restrictions ^nns++++=restrictions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protocols ^nns++++=protocols
for ^in++++=for
testing ^xvbg+++xvbg+=testing
and ^cc++++=and
tracking ^xvbg+++xvbg+=tracking
infected ^xvbn+++xvbn+=infected
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
universities ^nns++++=universities
began ^vbd+++xvbn+=began
closing ^nvbg+++xvbg+=closing
from ^in++++=from
mid ^jjb++++=mid-March,
- ^zz++++=EXTRAWORD
march ^nr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
suspension ^nn++++=suspension
of ^in++++=of
all ^rb++++=all
clinical ^jj++++=clinical
and ^cc++++=and
pre ^nn+++??+=pre-clinical
- ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=EXTRAWORD
activities ^nns++++=activities
while ^cs+sub+++=while
theoretical ^jj+atrb+++=theoretical
components ^nns++++=components,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
seminars ^nns++++=seminars,
, ^zz++++=EXTRAWORD
lectures ^nns++++=lectures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
journal ^nn++++=journal
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
continued ^j+++xvbn+=continued
in ^in++++=in
an ^at++++=an
online ^nn+++??+=online
format ^nn++++=format.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
transition ^nn++++=transition
necessitated ^vbd+++xvbn+=necessitated
a ^at++++=a
rapid ^jj+atrb+++=rapid
adaptation ^nn++++=adaptation
by ^in++++=by
both ^abx++++=both
students ^nns++++=students
and ^cc++++=and
academic ^jj+atrb+++=academic
staff ^nn++++=staff,
, ^zz++++=EXTRAWORD
with ^in++++=with
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
Microsoft ^np+++??+=Microsoft
Teams ^nns++++=Teams
and ^cc++++=and
Blackboard ^nn++++=BlackBoard
Collaborate ^vb++++=Collaborate
Ultra ^rb++++=ULTRA
serving ^vbg+++xvbg+=serving
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
tools ^nns++++=tools
for ^in++++=for
learning ^xvbg+++xvbg+=learning
and ^cc++++=and
teaching ^xvbg+++xvbg+=teaching
at ^rb++++=at
Griffith ^np+++??+=Griffith
University ^nn++++=University.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
several ^ap++++=several
clinically ^rb++++=clinically
oriented ^nn+++??+=oriented
scenarios ^nns+++??+=scenarios
were ^vbd+bed+aux++=were
developed ^vpsv++agls+xvbnx+=developed
and ^cc+phrs+++=and
delivered ^vbd+++xvbn+=delivered
as ^ql++++=as
online ^vb+++??+=online
problem ^nn++++=problem-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
( ^zz++++=(PBL)
pbl ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
discussions ^nns++++=discussions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
examinations ^nns++++=examinations
in ^in++++=in
semester ^np++++=Semester
1 ^zz++++=1
were ^vbd+bed+aux++=were
conducted ^vbd+++xvbn+=conducted
online ^nn++++=online.
. ^zz++++=EXTRAWORD
