Invariance ^np+++??+=Invariance
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
across ^in+pl+++=across
both ^abx++++=both
scales ^nns++++=scales
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
age ^nn++++=age
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
marital ^jj+atrb+++=marital
status ^nn++++=status,
, ^zz++++=EXTRAWORD
possession ^nn++++=possession
of ^in++++=of
a ^at++++=a
specialty ^nn+++??+=specialty,
, ^zz++++=EXTRAWORD
employment ^nn++++=employment
at ^rb++++=at
another ^dt++++=another
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
duration ^nn++++=duration
of ^in++++=of
employment ^nn++++=employment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
work ^nn++++=work-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
or ^cc++++=or
chronic ^jj+atrb+++=chronic
diseases ^nns++++=diseases
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Supplement ^nn++++=Supplement
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
comparisons ^nns++++=comparisons
between ^in++++=between
these ^dt+dem+++=these
groups ^nns++++=groups
using ^vwbg+++xvbg+=using
each ^dt++++=each
scale ^nn++++=scale
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
valid ^jj++++=valid.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
invariance ^nn+++??+=invariance
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
for ^in++++=for
type ^nn++++=type
of ^in++++=of
organization ^nn++++=organization
and ^cc++++=and
monthly ^jj+atrb+++=monthly
income ^nn++++=income
due ^jj++++=due
to ^in+jcmp+++=to
unmet ^jj+atrb+++=unmet
statistical ^jj+atrb+++=statistical
assumptions ^nns++++=assumptions.
. ^zz++++=EXTRAWORD
