Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
may ^md+pos+++=may
increase ^vb++++=increase
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
venous ^nns+++??+=venous
and ^cc++++=and
arterial ^jj+atrb+++=arterial
thromboembolic ^nn+++??+=thromboembolic
events ^nns++++=events
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
excessive ^jj+atrb+++=excessive
inflammation ^nn+++??+=inflammation,
, ^zz++++=EXTRAWORD
hypoxia ^nn+++??+=hypoxia,
, ^zz++++=EXTRAWORD
immobilization ^nn+++??+=immobilization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disseminated ^vbd+++xvbn+=disseminated
intravascular ^nn+++??+=intravascular
coagulation ^nn+++??+=coagulation
( ^zz++++=(DIC).
dic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
perform ^vbi++++=perform
risk ^vb++++=risk
stratification ^nn++++=stratification
for ^in++++=for
venous ^nns+++??+=venous
thromboembolism ^nn+++??+=thromboembolism
( ^zz++++=(VTE)
vte ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
hospitalized ^nn+++??+=hospitalized
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
utilizing ^nn+++??+=utilizing
assessment ^nn++++=assessment
tools ^nns++++=tools
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Caprini ^np+++??+=Caprini
score ^nn++++=score.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
employ ^vbi++++=employ
complementary ^jj+atrb+++=complementary
scoring ^jj+atrb++xvbg+=scoring
systems ^nns++++=systems
to ^to++++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
bleeding ^nn++++=bleeding
in ^in++++=in
this ^dt+dem+++=this
population ^nn++++=population.
. ^zz++++=EXTRAWORD
