By ^in++++=By
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Network ^nn++++=Network
comprised ^vbd+++xvbn+=comprised
approximately ^rb+down+++=approximately
800 ^cd++++=800
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
primary ^jj+atrb+++=primary
objective ^nn++++=objective
is ^vbz+bez+aux++=is
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
women ^nns++++=women
and ^cc++++=and
girls ^nns++++=girls
have ^vb+hv+vrb++=have
practical ^jj+atrb+++=practical
access ^nn++++=access
to ^to++++=to
non ^&fw++++=non-punishable
- ^zz++++=EXTRAWORD
punishable ^jj+atrb+++=EXTRAWORD
abortions ^nns+++??+=abortions,
, ^zz++++=EXTRAWORD
with ^in++++=with
services ^nns++++=services
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
professionals ^nns++++=professionals
who ^whp+rel+subj++=who
perform ^vb++++=perform
Legal ^jj+atrb+++=Legal
Interruption ^nn++++=Interruption
of ^in++++=of
Pregnancy ^nn++++=Pregnancy
( ^zz++++=(LIP),
lip ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
both ^abx++++=both
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
surgical ^jj+atrb+++=surgical
abortions ^nns+++??+=abortions,
, ^zz++++=EXTRAWORD
within ^in++++=within
public ^jj+atrb+++=public
healthcare ^nn+++??+=healthcare
institutions ^nns++++=institutions
nationwide ^jj++++=nationwide.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
Network ^nn++++=Network
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
providers ^vbz+++??+=providers
of ^in++++=of
the ^ati++++=the
Legal ^jj+atrb+++=Legal
Interruption ^nn++++=Interruption
of ^in++++=of
Pregnancy ^nn++++=Pregnancy
Service ^nn++++=service
In ^in++++=in
The ^ati++++=the
Institutions ^nns++++=institutions
Where ^wrb+who+++=where
They ^pp3a+pp3+++=they
Are ^vb+ber+aux++=are
Employed ^vpsv++agls+xvbn+=employed.
 ^zz++++=EXTRAWORD
