As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
the ^ati++++=the
table ^nn++++=table
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Wilcoxon ^np+++??+=Wilcoxon
test ^nn++++=test
results ^nns++++=results
for ^in++++=for
the ^ati++++=the
pretest ^nn+++??+=pretest
and ^cc++++=and
posttest ^nn+++??+=posttest
on ^in++++=on
each ^ppls++++=each
criterion ^np++++=criterion
indicate ^vb+vprv+++=indicate
the ^ati++++=the
following ^jj+++xvbg+=following
for ^in++++=for
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group:
: ^zz++++=EXTRAWORD
Reading ^vbg+++xvbg+=Reading
Comprehension ^nn++++=Comprehension
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
Z ^zz++++=Z
value ^nn++++=value
of ^in++++=of
- ^zz++++=-5.131
5.131 ^cd++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
of ^in++++=of
0.000 ^nn++++=0.000.
. ^zz++++=EXTRAWORD
