Among ^in++++=Among
the ^ati++++=the
nutrients ^nns++++=nutrients
with ^in++++=with
these ^dt+dem+++=these
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
vitamin ^nn++++=vitamin
A ^at++++=A
is ^vbz+bez+aux++=is
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
intervention ^nn++++=intervention
strategies ^nns+++??+=strategies
because ^cs+cos+++=because
it ^pp3+it+++=it
reduces ^vbz++++=reduces
susceptibility ^nn++++=susceptibility
to ^in++++=to
pathogens ^nns++++=pathogens
in ^in++++=in
the ^ati++++=the
mucosal ^nn+++??+=mucosal
epithelium ^nn+++??+=epithelium
of ^in++++=of
the ^ati++++=the
digestive ^nn+++??+=digestive
and ^cc++++=and
respiratory ^jj+atrb+++=respiratory
tracts ^nns++++=tracts
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
vitamin ^nn++++=vitamin
A ^at++++=A
plays ^nns++++=plays
an ^at++++=an
essential ^jj+atrb+++=essential
role ^nn++++=role
in ^in++++=in
regulating ^xvbg+++xvbg+=regulating
the ^ati++++=the
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
differentiation ^nn++++=differentiation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gene ^np++++=gene
expression ^nn++++=expression
of ^in++++=of
airway ^nn++++=airway
epithelial ^nn++++=epithelial
cells ^nns++++=cells
[ ^zz++++=[30].
30 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
