It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
75 ^cd++++=75%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
students ^nns++++=students
surveyed ^vwbn+++xvbn+=surveyed
receive ^vb++++=receive
scholarship ^nn++++=scholarship
grants ^nns++++=grants
provided ^vbd+++xvbn+=provided
either ^dtx++++=either
by ^in++++=by
the ^ati++++=the
University ^nn++++=University
or ^cc++++=or
by ^in++++=by
the ^ati++++=the
Institute ^nn++++=Institute
for ^in++++=for
the ^ati++++=the
Promotion ^nn++++=Promotion
of ^in++++=of
Human ^jj+atrb+++=Human
Talent ^nn++++=Talent.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
62 ^cd++++=62%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
students ^nns++++=students
analyzed ^nn+++??+=analyzed
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
being ^jj+++xvbg+=being
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
family ^nn++++=family
dependence ^nn++++=dependence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
socioeconomic ^nn++++=socioeconomic
quintiles ^nns++++=quintiles
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
