Multiple ^jj+atrb+++=Multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD)
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
require ^vb+vsua+++=require
ongoing ^jj+atrb++??+=ongoing
preventive ^jj+atrb+++=preventive
treatment ^nn++++=treatment
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
disability ^nn++++=disability
and ^cc++++=and
enhance ^vb++++=enhance
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
no ^at++++=no
cure ^nn++++=cure
for ^in++++=for
either ^dtx++++=either
Ms ^nn++++=MS
or ^cc++++=or
Nmosd ^np+++??+=NMOSD,
, ^zz++++=EXTRAWORD
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
prognosis ^nn++++=prognosis
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
these ^dt+dem+++=these
conditions ^nns++++=conditions
has ^vbz+hvz+aux++=has
improved ^vprf+++xvbnx+=improved
significantly ^rb++++=significantly
over ^in++++=over
the ^ati++++=the
past ^jjb+atrb+++=past
decade ^nn++++=decade,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
highly ^rb+amp+++=highly
active ^jj+atrb+++=active
immunotherapeutic ^nn+++??+=immunotherapeutic
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
strategies ^nns+++??+=strategies
involve ^vb++++=involve
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
disease ^nn++++=disease-modifying
- ^zz++++=EXTRAWORD
modifying ^vbg+++xvbg+=EXTRAWORD
drugs ^nns++++=drugs
( ^zz++++=(DMDs)
dmds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
modulate ^nn++++=modulate
or ^cc+phrs+++=or
suppress ^vb++++=suppress
immune ^jj+atrb+++=immune
system ^nn++++=system
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
compromise ^vb++++=compromise
the ^ati++++=the
body ^nn++++=body's
's ^vbz+bez+vrb++0=EXTRAWORD
normal ^jj+atrb+++=normal
response ^nn++++=response
to ^in++++=to
infections ^nns++++=infections.
. ^zz++++=EXTRAWORD
The ^ati++++=The
management ^nn++++=management
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
demyelinating ^nn+++??+=demyelinating
disorders ^nns++++=disorders
is ^vbz+bez+vrb++=is
complex ^jj+pred+++=complex
and ^cc++++=and
necessitates ^vbz++++=necessitates
regular ^jj+atrb+++=regular
clinical ^jj+atrb+++=clinical
assessments ^nns++++=assessments,
, ^zz++++=EXTRAWORD
routine ^jj+atrb+++=routine
central ^jj+atrb+++=central
nervous ^jj+atrb+++=nervous
system ^nn++++=system
imaging ^nn+++??+=imaging,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laboratory ^nn++++=laboratory
monitoring ^vwbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
can ^md+pos+++=can
present ^vb++++=present
additional ^jj++++=additional
challenges ^vbz++++=challenges
during ^in++++=during
a ^at++++=a
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
