Despite ^in++++=Despite
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
diagnostic ^nn+++??+=diagnostic
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
limited ^j+++xvbn+=limited
testing ^jj+++xvbg+=testing
of ^in++++=of
suspected ^vbd+vprv++xvbn+=suspected
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
with ^in++++=with
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
number ^nn++++=number
of ^in++++=of
new ^jj+atrb+++=new
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
significant ^jj+atrb+++=significant
underreporting ^nn+++??+=underreporting
of ^in++++=of
both ^abx++++=both
cases ^nns++++=cases
and ^cc++++=and,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
lesser ^jjr+atrb+++=lesser
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
persistently ^rb++++=persistently
high ^jj+atrb+++=high
transmission ^nn++++=transmission
rate ^nn++++=rate
and ^cc++++=and
low ^jj+atrb+++=low
public ^jj+atrb+++=public
adherence ^nn++++=adherence
to ^in++++=to
social ^jj+atrb+++=social
isolation ^nn++++=isolation
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
a ^at++++=a
highly ^rb+amp+++=highly
critical ^jj+atrb+++=critical
public ^jj+atrb+++=public
health ^nn++++=health
situation ^nn++++=situation
in ^in++++=in
Brazil ^np++++=Brazil
through ^in++++=through
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
May ^md+pos+++=May.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
months ^nns++++=months
after ^cs+sub+++=after
the ^ati++++=the
first ^od++++=first
case ^nn++++=case
was ^vbd+bedz+aux++=was
confirmed ^vpsv++by+xvbnx+=confirmed
by ^in++++=by
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
and ^cc++++=and
two ^cd++++=two
months ^nns++++=months
after ^cs+sub+++=after
the ^ati++++=the
first ^od++++=first
reported ^vbd+vpub++xvbn+=reported
death ^nn++++=death,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
exceeded ^vbd+++xvbn+=exceeded
one ^cd1++++=one
thousand ^cd++++=thousand
daily ^jj+atrb+++=daily
deaths ^nns++++=deaths
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
current ^jj+atrb+++=current
case ^nn++++=case
fatality ^nn++++=fatality
rate ^nn++++=rate
is ^vbz+bez+vrb++=is
6.3 ^cd++++=6.3%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
Brazil ^np++++=Brazil
among ^in++++=among
the ^ati++++=the
ten ^cd++++=ten
countries ^nns++++=countries
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
rates ^nns++++=rates
globally ^nn+++??+=globally,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate
stands ^vbz++++=stands
at ^rb++++=at
10.5 ^cd++++=10.5
deaths ^nns++++=deaths
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants.
. ^zz++++=EXTRAWORD
